Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,IntensityScore_abs,IntensityBand
Alan Empereur,Hellas Verona,it Serie A,DF,25,855,9.5,,,,,703.2352916154404,Top Starter,762.0691026616577,World Class
Youssef En-Nesyri,Leganés,es La Liga,FW,22,1385,15.4,372.4121829947893,Solid Squad Player,,,,,363.80588724538006,Solid Squad Player
Youssef En-Nesyri,Sevilla,es La Liga,FW,22,796,8.8,450.058352966107,Top Starter,,,,,379.9291878568314,Solid Squad Player
Björn Engels,Aston Villa,eng Premier League,DF,24,1447,16.1,,,,,607.375940841312,Top Starter,674.7965038236505,Top Starter
Sergi Enrich,Eibar,es La Liga,FW,29,1865,20.7,205.59777165646057,Solid Squad Player,,,,,361.27435575265145,Solid Squad Player
Javier Eraso,Leganés,es La Liga,Off_MF,29,815,9.1,126.68531035386391,Below Big-5 Level,,,,,465.2634467710155,Top Starter
Christian Eriksen,Tottenham,eng Premier League,Off_MF,27,1097,12.2,502.19515332740974,Top Starter,,,,,745.1723334923647,Top Starter
Christian Eriksen,Inter,it Serie A,Off_MF,27,703,7.8,668.3197882641066,Top Starter,,,,,657.3071651884106,Top Starter
Gonzalo Escalante,Eibar,es La Liga,MF,26,1674,18.6,,,354.8270490880791,Solid Squad Player,,,679.8896684197165,Top Starter
Sergio Escudero,Sevilla,es La Liga,DF,29,773,8.6,,,,,761.0689196116733,World Class,847.1038189885893,World Class
Bernardo Espinosa,Espanyol,es La Liga,DF,30,2259,25.1,,,,,471.53349678128285,Top Starter,671.6803635558067,Top Starter
Sebastiano Esposito,Inter,it Serie A,FW,17,199,2.2,,,,,,,,
Vicente Esquerdo,Valencia,es La Liga,MF,20,15,0.2,,,,,,,,
Alexander Esswein,Hertha BSC,de Bundesliga,FW,29,213,2.4,,,,,,,,
Pervis Estupiñán,Osasuna,es La Liga,DF,21,2979,33.1,,,,,632.6130313815452,Top Starter,807.145314417703,World Class
Oghenekaro Etebo,Getafe,es La Liga,MF,23,572,6.4,,,394.7381234041042,Solid Squad Player,,,727.8121153907421,Top Starter
Beñat Etxebarria,Athletic Club,es La Liga,MF,32,394,4.4,,,,,,,,
Xabier Etxeita,Getafe,es La Liga,DF,31,1446,16.1,,,,,424.9039530551823,Top Starter,581.680503403628,Top Starter
Antony Evans,Paderborn 07,de Bundesliga,Off_MF,20,156,1.7,,,,,,,,
Jonny Evans,Leicester City,eng Premier League,DF,31,3383,37.6,,,,,666.7362734498819,Top Starter,879.4568062085182,World Class
Edu Expósito,Eibar,es La Liga,MF,22,2316,25.7,,,388.52458211569433,Solid Squad Player,,,645.53072225433,Top Starter
Valentin Eysseric,Hellas Verona,it Serie A,Off_MF,27,353,3.9,,,,,,,,
Valentin Eysseric,Fiorentina,it Serie A,FW,27,42,0.5,,,,,,,,
Fabinho,Liverpool,eng Premier League,MF,25,2079,23.1,,,562.8978057670815,Top Starter,,,877.9888149240876,World Class
Fábio,Nantes,fr Ligue 1,DF,29,834,9.3,,,,,725.4928362682639,Top Starter,787.7897070648166,World Class
Cesc Fàbregas,Monaco,fr Ligue 1,MF,32,930,10.3,,,761.510868395557,World Class,,,606.5500290155762,Top Starter
Fayçal Fajr,Getafe,es La Liga,Off_MF,30,403,4.5,,,,,,,,
Filippo Falco,Lecce,it Serie A,FW,27,2014,22.4,485.01577917696335,Top Starter,,,,,685.0193961022026,Top Starter
Eliseo Falcon,Levante,es La Liga,DF,22,73,0.8,,,,,,,,
Simon Falette,Eint Frankfurt,de Bundesliga,DF,27,90,1.0,,,,,,,,
Iago Falque,Torino,it Serie A,FW,29,102,1.1,,,,,,,,
Iago Falque,Genoa,it Serie A,Off_MF,29,519,5.8,370.05024477354806,Solid Squad Player,,,,,653.167754967031,Top Starter
Andri Fannar Baldursson,Bologna,it Serie A,MF,17,143,1.6,,,,,,,,
Paolo Faragò,Cagliari,it Serie A,DF,26,1343,14.9,,,,,658.0194523807367,Top Starter,782.1115986862435,World Class
Davide Faraoni,Hellas Verona,it Serie A,DF,27,3228,35.9,,,,,551.9409950571659,Top Starter,618.1252465700262,Top Starter
Mohamed Fares,SPAL,it Serie A,DF,23,421,4.7,,,,,,,,
Diego Farias,Lecce,it Serie A,Off_MF,29,824,9.2,450.6050084322438,Top Starter,,,,,644.092270956334,Top Starter
Ansu Fati,Barcelona,es La Liga,FW,16,1027,11.4,692.2448561523029,Top Starter,,,,,772.2659526299633,World Class
Julien Faussurier,Brest,fr Ligue 1,DF,32,1980,22.0,,,,,570.908259889823,Top Starter,621.190200559345,Top Starter
Andrea Favilli,Genoa,it Serie A,FW,22,658,7.3,150.2026713549679,Below Big-5 Level,,,,,487.74928712150347,Top Starter
Federico Fazio,Roma,it Serie A,DF,32,1213,13.5,,,,,542.9997705413359,Top Starter,710.6643946025218,Top Starter
Aleix Febas,Mallorca,es La Liga,MF,23,1690,18.8,,,534.2320400700058,Top Starter,,,611.2933849110045,Top Starter
