Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,IntensityScore_abs,IntensityBand,GKScore_abs,GKBand
Ricardo Kishna,Lazio,it Serie A,Off_MF,21.0,558,6.2,441.8896090400586,Top Starter,,,,,330.06996306129537,Solid Squad Player,,
Édgar Barreto,Sampdoria,it Serie A,MF,31.5,2167,24.1,,,315.15643694064084,Solid Squad Player,,,467.39605375862806,Top Starter,,
Carlos Carmona,Atalanta,it Serie A,MF,28.9,465,5.2,,,300.2080118613181,Solid Squad Player,,,529.0940031987946,Top Starter,,
Marcel Büchel,Empoli,it Serie A,MF,24.8,1580,17.6,,,415.7568959663788,Top Starter,,,502.7910422056142,Top Starter,,
Karim Laribi,Sassuolo,it Serie A,Off_MF,24.7,484,5.4,299.5091712966893,Solid Squad Player,,,,,411.53536755003427,Top Starter,,
Paul-José Mpoku,Chievo,it Serie A,MF,23.7,754,8.4,,,435.9286552810977,Top Starter,,,458.5525760918703,Top Starter,,
Darko Lazović,Genoa,it Serie A,MF,25.3,649,7.2,,,579.3158547711349,Top Starter,,,326.9456032839878,Solid Squad Player,,
Luca Paganini,Frosinone,it Serie A,MF,22.6,1842,20.5,,,458.56878939701465,Top Starter,,,557.7873010407259,Top Starter,,
Assane Dioussé,Empoli,it Serie A,MF,18.3,819,9.1,,,254.95261483247162,Solid Squad Player,,,497.17839393418853,Top Starter,,
Nikola Ninković,Chievo,it Serie A,Off_MF,21.0,7,0.1,,,,,,,,,,
Franco Signorelli,Empoli,it Serie A,MF,25.0,33,0.4,,,,,,,,,,
Manuel Locatelli,Milan,it Serie A,Def_MF,18.0,92,1.0,,,,,,,,,,
Salih Uçan,Roma,it Serie A,MF,22.0,40,0.4,,,,,,,,,,
Oliver Kragl,Frosinone,it Serie A,MF,25.6,929,10.3,,,342.1063794913545,Solid Squad Player,,,450.2689343499489,Top Starter,,
Kevin-Prince Boateng,Milan,it Serie A,Off_MF,28.8,188,2.1,,,,,,,,,,
Tino Costa,Fiorentina,it Serie A,MF,31.0,1217,13.5,,,360.2901866097373,Solid Squad Player,,,462.0483317191289,Top Starter,,
William Vainqueur,Roma,it Serie A,Def_MF,27.1,593,6.6,,,,,530.160263614069,Top Starter,554.4065650115577,Top Starter,,
Filippo Costa,Chievo,it Serie A,MF,20.6,127,1.4,,,,,,,,,,
Stefano Mauri,Lazio,it Serie A,Off_MF,36.0,502,5.6,390.53659455229524,Solid Squad Player,,,,,310.80372308152096,Solid Squad Player,,
José Mauri,Milan,it Serie A,MF,19.6,247,2.7,,,,,,,,,,
Oscar Hiljemark,Palermo,it Serie A,MF,23.5,2921,32.5,,,456.2308742020651,Top Starter,,,322.55156299096205,Solid Squad Player,,
Luca Siligardi,Hellas Verona,it Serie A,FW,27.9,1406,15.6,294.18015613264663,Solid Squad Player,,,,,402.70909809979446,Top Starter,,
Giulio Migliaccio,Atalanta,it Serie A,MF,34.5,521,5.8,,,319.8703044562031,Solid Squad Player,,,620.1400957043041,Top Starter,,
Emil Hallfreðsson,Udinese,it Serie A,MF,31.5,1881,20.9,,,391.40675931397294,Solid Squad Player,,,532.8627587965053,Top Starter,,
Sanjin Prcić,Torino,it Serie A,Def_MF,22.1,27,0.3,,,,,,,,,,
Antonio Nocerino,Milan,it Serie A,MF,30.7,65,0.7,,,,,,,,,,
Assane Gnoukouri,Inter,it Serie A,MF,19.3,56,0.6,,,,,,,,,,
Luca Rizzo,Bologna,it Serie A,MF,23.7,1424,15.8,,,405.6102852347384,Top Starter,,,445.1620270667739,Top Starter,,
Raman Chibsah,Frosinone,it Serie A,MF,22.8,1163,12.9,,,471.9844958844842,Top Starter,,,498.1986974726461,Top Starter,,
Giuseppe Pezzella,Palermo,it Serie A,MF,18.1,594,6.6,,,312.9006519326224,Solid Squad Player,,,484.6774435844046,Top Starter,,
Edenilson,Udinese,it Serie A,Off_MF,26.0,2212,24.6,199.69946408349222,Below Big-5 Level,,,,,467.0302605366276,Top Starter,,
Stefano Sturaro,Juventus,it Serie A,MF,22.8,1022,11.4,,,352.09046208429254,Solid Squad Player,,,563.3969077463513,Top Starter,,
