Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,RawScore,MainScore,MainBand
Youssouf Sabaly,Betis,es La Liga,DF,29,1680,18.7,,,,,622.1388321677113,Top Starter,622.1388321677113,618.9,Top Starter
Halid Šabanović,Angers,fr Ligue 1,DF,22,638,7.1,,,,,467.81467330100674,Top Starter,467.81467330100674,261.0,Solid Squad Player
Abdelhamid Sabiri,Sampdoria,it Serie A,Off_MF,25,1069,11.9,251.52120456785937,Solid Squad Player,,,,,251.52120456785937,222.8,Solid Squad Player
Marcel Sabitzer,Manchester Utd,eng Premier League,MF,28,627,7.0,,,595.0731045290975,Top Starter,,,595.0731045290975,675.2,Top Starter
Marcel Sabitzer,Bayern Munich,de Bundesliga,MF,28,628,7.0,,,634.7272212201447,Top Starter,,,634.7272212201447,703.8,Top Starter
Falaye Sacko,Montpellier,fr Ligue 1,DF,27,2580,28.7,,,,,536.3973917986103,Top Starter,536.3973917986103,383.0,Solid Squad Player
Umar Sadiq,Almería,es La Liga,FW,25,240,2.7,,,,,,,,,Below Big-5 Level
Umar Sadiq,Real Sociedad,es La Liga,FW,25,82,0.9,,,,,,,,,Below Big-5 Level
Alexis Saelemaekers,Milan,it Serie A,FW,23,1403,15.6,369.78994055083604,Solid Squad Player,,,,,369.78994055083604,418.8,Top Starter
Wesley Saïd,Lens,fr Ligue 1,FW,27,644,7.2,671.6193800752626,Top Starter,,,,,671.6193800752626,756.8,World Class
Allan Saint-Maximin,Newcastle Utd,eng Premier League,FW,25,1120,12.4,492.6385442514475,Top Starter,,,,,492.6385442514475,589.0,Top Starter
Théo Sainte-Luce,Montpellier,fr Ligue 1,DF,23,534,5.9,,,,,687.4711243803118,Top Starter,687.4711243803118,651.8,Top Starter
Samuel Sáiz,Girona,es La Liga,Off_MF,31,240,2.7,,,,,,,,,Below Big-5 Level
Bukayo Saka,Arsenal,eng Premier League,FW,20,3181,35.3,619.5136812248873,Top Starter,,,,,619.5136812248873,750.3,World Class
Hamza Sakhi,Auxerre,fr Ligue 1,MF,26,1658,18.4,,,742.3552241662857,Top Starter,,,742.3552241662857,807.7,World Class
Mamadou Sakho,Montpellier,fr Ligue 1,DF,32,763,8.5,,,,,597.5910879024935,Top Starter,597.5910879024935,491.9,Top Starter
Jacopo Sala,Spezia,it Serie A,MF,30,112,1.2,,,,,,,,,Below Big-5 Level
Ibrahim Salah,Rennes,fr Ligue 1,FW,20,227,2.5,,,,,,,,,Below Big-5 Level
Mohamed Salah,Liverpool,eng Premier League,FW,30,3290,36.6,757.2672967853904,World Class,,,,,757.2672967853904,925.5,Exceptional
Amine Salama,Angers,fr Ligue 1,FW,22,1249,13.9,314.1890350111389,Solid Squad Player,,,,,314.1890350111389,334.2,Solid Squad Player
Kike Salas,Sevilla,es La Liga,DF,20,368,4.1,,,,,,,,,Below Big-5 Level
William Saliba,Arsenal,eng Premier League,DF,21,2415,26.8,,,,,457.7325247480251,Top Starter,457.7325247480251,304.3,Solid Squad Player
Mohammed Salisu,Southampton,eng Premier League,DF,23,1973,21.9,,,,,788.8024791446122,World Class,788.8024791446122,937.8,Exceptional
Roland Sallai,Freiburg,de Bundesliga,Off_MF,25,1002,11.1,459.57714295807517,Top Starter,,,,,459.57714295807517,486.9,Top Starter
Yoann Salmier,Troyes,fr Ligue 1,DF,29,2646,29.4,,,,,640.5327918073415,Top Starter,640.5327918073415,568.3,Top Starter
Salvi,Rayo Vallecano,es La Liga,FW,31,490,5.4,192.09249356308183,Below Big-5 Level,,,,,192.09249356308183,206.9,Solid Squad Player
Lazar Samardzic,Udinese,it Serie A,Off_MF,20,1848,20.5,557.8357033412027,Top Starter,,,,,557.8357033412027,611.7,Top Starter
