Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,Season
Arlind Ajeti,Crotone,it Serie A,DF,23.0,1271,14.1,,,,,560.0560610638997,Top Starter,2017-2018
Manuel Akanji,Dortmund,de Bundesliga,DF,22.0,904,10.0,,,,,357.10409356725137,Solid Squad Player,2017-2018
Nathan Aké,Bournemouth,eng Premier League,DF,22.0,3353,37.3,,,,,444.5649341486791,Top Starter,2017-2018
Chadrac Akolo,Stuttgart,de Bundesliga,FW,22.0,1102,12.2,385.4430752264476,Solid Squad Player,,,,,2017-2018
Kevin Akpoguma,Hoffenheim,de Bundesliga,DF,22.0,1690,18.8,,,,,390.03217263015694,Solid Squad Player,2017-2018
David Alaba,Bayern Munich,de Bundesliga,DF,25.0,1551,17.2,,,,,252.78856054865844,Solid Squad Player,2017-2018
Lucas Alario,Leverkusen,de Bundesliga,FW,24.0,1550,17.2,514.5261034646418,Top Starter,,,,,2017-2018
Jordi Alba,Barcelona,es La Liga,DF,28.0,2744,30.5,,,,,394.0531109193749,Solid Squad Player,2017-2018
Raúl Albentosa,La Coruña,es La Liga,DF,28.0,1748,19.4,,,,,378.9568266182483,Solid Squad Player,2017-2018
Luis Alberto,Lazio,it Serie A,FW,24.0,2669,29.7,563.4414311927541,Top Starter,,,,,2017-2018
Raúl Albiol,Napoli,it Serie A,DF,31.0,2742,30.5,,,,,315.7885971760001,Solid Squad Player,2017-2018
Miiko Albornoz,Hannover 96,de Bundesliga,MF,26.0,703,7.8,,,321.7948717948718,Solid Squad Player,,,2017-2018
Marc Albrighton,Leicester City,eng Premier League,FW,27.0,2538,28.2,234.70795205395004,Solid Squad Player,,,,,2017-2018
Paco Alcácer,Barcelona,es La Liga,FW,23.0,695,7.7,542.7012888849623,Top Starter,,,,,2017-2018
Pedro Alcalá,Girona,es La Liga,DF,28.0,689,7.7,,,,,403.8197816461658,Top Starter,2017-2018
Thiago Alcántara,Bayern Munich,de Bundesliga,FW,26.0,1247,13.9,312.1511253582168,Solid Squad Player,,,,,2017-2018
Toby Alderweireld,Tottenham,eng Premier League,DF,28.0,1178,13.1,,,,,304.8170043429183,Solid Squad Player,2017-2018
Álex Alegría,Levante,es La Liga,FW,24.0,628,7.0,83.29980563654034,Below Big-5 Level,,,,,2017-2018
Iván Alejo,Eibar,es La Liga,FW,22.0,1102,12.2,236.5176883139413,Solid Squad Player,,,,,2017-2018
Alexander,Leganés,es La Liga,FW,28.0,1060,11.8,276.4503311682488,Solid Squad Player,,,,,2017-2018
Trent Alexander-Arnold,Liverpool,eng Premier League,DF,18.0,1573,17.5,,,,,357.7816923260532,Solid Squad Player,2017-2018
Alexis,Alavés,es La Liga,DF,31.0,2184,24.3,,,,,366.2130760246419,Solid Squad Player,2017-2018
Allan,Napoli,it Serie A,MF,26.0,2850,31.7,,,506.267087276551,Top Starter,,,2017-2018
Joe Allen,Stoke City,eng Premier League,MF,27.0,3139,34.9,,,433.58166189111745,Top Starter,,,2017-2018
Dele Alli,Tottenham,eng Premier League,FW,21.0,2958,32.9,430.24537352935096,Top Starter,,,,,2017-2018
Júnior Alonso,Lille,fr Ligue 1,DF,24.0,2781,30.9,,,,,424.17045850873143,Top Starter,2017-2018
Marcos Alonso,Chelsea,eng Premier League,Off_MF,26.0,2855,31.7,274.82376320664963,Solid Squad Player,,,,,2017-2018
Yeray Álvarez,Athletic Club,es La Liga,DF,22.0,675,7.5,,,,,326.05513784461147,Solid Squad Player,2017-2018
Dani Alves,Paris S-G,fr Ligue 1,DF,34.0,2063,22.9,,,,,358.09961585185675,Solid Squad Player,2017-2018
Ibrahim Amadou,Lille,fr Ligue 1,Def_MF,24.0,2405,26.7,,,,,404.71892019034186,Top Starter,2017-2018
Morgan Amalfitano,Rennes,fr Ligue 1,FW,32.0,746,8.3,111.28116547823949,Below Big-5 Level,,,,,2017-2018
Romain Amalfitano,Dijon,fr Ligue 1,MF,27.0,2703,30.0,,,342.80000000000007,Solid Squad Player,,,2017-2018
Daniel Amartey,Leicester City,eng Premier League,DF,22.0,487,5.4,,,,,361.7859463473498,Solid Squad Player,2017-2018
Jordi Amat,Betis,es La Liga,Def_MF,25.0,2045,22.7,,,,,403.3426972270106,Top Starter,2017-2018
Amath,Getafe,es La Liga,FW,21.0,2859,31.8,175.88556596642846,Below Big-5 Level,,,,,2017-2018
Jordan Amavi,Marseille,fr Ligue 1,DF,23.0,2193,24.4,,,,,399.8123724612077,Solid Squad Player,2017-2018
Kelvin Amian,Toulouse,fr Ligue 1,DF,19.0,3154,35.0,,,,,325.0293699617008,Solid Squad Player,2017-2018
Nadiem Amiri,Hoffenheim,de Bundesliga,Off_MF,20.0,1744,19.4,304.0331083292424,Solid Squad Player,,,,,2017-2018
Nordin Amrabat,Leganés,es La Liga,FW,30.0,1623,18.0,298.1774166456706,Solid Squad Player,,,,,2017-2018
Joachim Andersen,Sampdoria,it Serie A,DF,21.0,546,6.1,,,,,441.1509648438034,Top Starter,2017-2018
Felipe Anderson,Lazio,it Serie A,FW,24.0,1162,12.9,524.6641031951109,Top Starter,,,,,2017-2018
Florin Andone,La Coruña,es La Liga,FW,24.0,1636,18.2,430.6422424891813,Top Starter,,,,,2017-2018
Benjamin André,Rennes,fr Ligue 1,MF,26.0,3011,33.5,,,422.80597014925377,Top Starter,,,2017-2018
Marco Andreolli,Cagliari,it Serie A,DF,31.0,1829,20.3,,,,,455.0512570424418,Top Starter,2017-2018
