season,sofa_player_id,Pos
2024-2025,106496,DF
2024-2025,96544,DF
2024-2025,864169,DF
2024-2025,605374,FW
2024-2025,577726,DF
2024-2025,943713,DF
2024-2025,1384847,DF
2024-2025,966547,FW
2024-2025,188407,FW
2024-2025,973699,MF
2024-2025,979128,FW
2024-2025,1093695,MF
2024-2025,902029,MF
2024-2025,867445,Off_MF
2024-2025,84531,DF
2024-2025,186855,MF
2024-2025,829022,DF
2024-2025,794373,DF
2024-2025,795044,FW
2024-2025,963299,MF
2024-2025,1142672,MF
2024-2025,50070,FW
2024-2025,886286,DF
2024-2025,983510,DF
2024-2025,1389846,MF
2024-2025,184421,DF
2024-2025,310874,FW
2024-2025,799054,MF
2024-2025,1090694,DF
2024-2025,814594,DF
2024-2025,132318,DF
2024-2025,960441,Off_MF
2024-2025,833956,DF
2024-2025,1010165,DF
2024-2025,829570,FW
2024-2025,856495,MF
2024-2025,964154,Off_MF
2024-2025,788141,Off_MF
2024-2025,115365,DF
2024-2025,976575,MF
2024-2025,892924,Off_MF
2024-2025,978285,DF
2024-2025,1000442,MF
2024-2025,976141,MF
2024-2025,99519,DF
2024-2025,123388,DF
2024-2025,838907,FW
2024-2025,138156,DF
2024-2025,229544,DF
2024-2025,249399,MF
2024-2025,962068,Off_MF
2024-2025,193554,MF
2024-2025,822877,Off_MF
2024-2025,939830,FW
2024-2025,143047,DF
2024-2025,98440,DF
2024-2025,111505,FW
2024-2025,369650,DF
2024-2025,155997,DF
2024-2025,960006,MF
2024-2025,33902,FW
2024-2025,357596,Off_MF
2024-2025,322391,MF
2024-2025,803031,DF
2024-2025,954044,DF
2024-2025,123164,DF
2024-2025,979480,DF
2024-2025,962890,MF
2024-2025,1001828,DF
2024-2025,282229,DF
2024-2025,966889,DF
2024-2025,913679,Def_MF
2024-2025,904759,DF
2024-2025,944327,FW
2024-2025,770677,MF
2024-2025,1090374,DF
2024-2025,990169,MF
2024-2025,254119,DF
2024-2025,997183,Off_MF
2024-2025,920391,Def_MF
2024-2025,879810,MF
2024-2025,787751,DF
2024-2025,826195,DF
2024-2025,1018190,FW
2024-2025,825771,DF
2024-2025,899982,Off_MF
2024-2025,349526,Off_MF
2024-2025,818986,DF
2024-2025,1019236,Off_MF
2024-2025,802143,DF
2024-2025,909119,FW
2024-2025,851271,DF
2024-2025,887581,MF
2024-2025,876858,FW
2024-2025,1015287,DF
2024-2025,960080,Off_MF
2024-2025,1085180,FW
2024-2025,284361,DF
2024-2025,996952,FW
2024-2025,1126569,Off_MF
2024-2025,1122806,DF
2024-2025,842364,DF
2024-2025,1136730,DF
2024-2025,255239,DF
2024-2025,886802,DF
2024-2025,1087316,MF
2024-2025,970978,DF
2024-2025,1469180,DF
2024-2025,867442,FW
2024-2025,1128063,DF
2024-2025,136710,MF
2024-2025,1135873,Off_MF
2024-2025,1210848,DF
2024-2025,361420,FW
2024-2025,186845,MF
2024-2025,830142,MF
2024-2025,990821,DF
2024-2025,909485,FW
2024-2025,976381,FW
2024-2025,1138778,DF
2024-2025,1085381,FW
2024-2025,187423,DF
2024-2025,917048,DF
2024-2025,136924,DF
2024-2025,45853,Off_MF
2024-2025,250223,Off_MF
2024-2025,879694,MF
2024-2025,793167,MF
2024-2025,1048889,Off_MF
2024-2025,53739,DF
2024-2025,905264,MF
2024-2025,591706,MF
2024-2025,155818,Off_MF
2024-2025,930191,FW
2024-2025,1097719,DF
2024-2025,1495844,MF
2024-2025,824200,Off_MF
2024-2025,823622,FW
2024-2025,868812,FW
2024-2025,814873,Def_MF
2024-2025,893008,DF
2024-2025,839585,MF
2024-2025,936234,FW
2024-2025,800951,DF
2024-2025,914755,MF
2024-2025,838159,DF
2024-2025,863271,DF
2024-2025,879349,FW
2024-2025,360718,DF
2024-2025,318941,DF
2024-2025,928236,DF
2024-2025,39182,MF
2024-2025,964191,DF
2024-2025,355796,Def_MF
2024-2025,855829,DF
2024-2025,340719,FW
2024-2025,844942,DF
2024-2025,896569,DF
2024-2025,997035,DF
2024-2025,922573,FW
2024-2025,791702,FW
2024-2025,142622,DF
2024-2025,1006387,FW
2024-2025,1048333,FW
2024-2025,806076,Off_MF
2024-2025,1116577,FW
2024-2025,152206,DF
2024-2025,995316,DF
2024-2025,928672,DF
2024-2025,151138,DF
2024-2025,927005,FW
2024-2025,821728,DF
2024-2025,226978,Off_MF
2024-2025,865847,DF
2024-2025,796206,MF
2024-2025,809034,MF
2024-2025,233826,DF
2024-2025,575852,MF
2024-2025,881931,Off_MF
2024-2025,869931,MF
2024-2025,280551,MF
2024-2025,142231,DF
2024-2025,970361,DF
2024-2025,965009,FW
2024-2025,998490,FW
2024-2025,980406,DF
2024-2025,851284,FW
2024-2025,1395746,FW
2024-2025,861324,MF
2024-2025,149732,MF
2024-2025,787885,Def_MF
2024-2025,547410,Off_MF
2024-2025,904832,MF
2024-2025,48480,MF
2024-2025,1157713,DF
2024-2025,343067,MF
2024-2025,1142588,MF
2024-2025,965008,FW
2024-2025,911851,Off_MF
2024-2025,978838,FW
2024-2025,795000,DF
2024-2025,267619,DF
2024-2025,965330,DF
2024-2025,287573,MF
2024-2025,592012,FW
2024-2025,339909,DF
2024-2025,851596,Off_MF
2024-2025,980383,Off_MF
2024-2025,371222,MF
2024-2025,904424,MF
2024-2025,980621,Off_MF
2024-2025,799216,MF
2024-2025,1019322,Off_MF
2024-2025,96538,DF
2024-2025,1128532,MF
2024-2025,962364,FW
2024-2025,147289,MF
2024-2025,1009334,DF
2024-2025,372336,FW
2024-2025,869792,DF
2024-2025,156682,MF
2024-2025,795064,DF
2024-2025,1154657,DF
2024-2025,788216,DF
2024-2025,805078,DF
2024-2025,152813,DF
2024-2025,880218,Off_MF
2024-2025,986397,FW
2024-2025,839981,MF
2024-2025,108579,FW
2024-2025,914501,FW
2024-2025,281277,DF
2024-2025,877013,FW
2024-2025,928124,Off_MF
2024-2025,1031658,DF
2024-2025,1142211,MF
2024-2025,560128,MF
2024-2025,246319,MF
2024-2025,37151,MF
2024-2025,979146,DF
2024-2025,883537,FW
2024-2025,826188,DF
2024-2025,805465,DF
2024-2025,826185,DF
2024-2025,1149011,FW
2024-2025,794412,MF
2024-2025,1130939,FW
2024-2025,928777,MF
2024-2025,260031,FW
2024-2025,328035,DF
2024-2025,958959,DF
2024-2025,1064305,Def_MF
2024-2025,258325,FW
2024-2025,798820,FW
2024-2025,835484,MF
2024-2025,352376,Def_MF
2024-2025,1176744,DF
2024-2025,1513896,DF
2024-2025,135116,DF
2024-2025,914309,FW
2024-2025,171961,FW
2024-2025,914902,FW
2024-2025,372430,DF
2024-2025,165583,DF
2024-2025,985923,MF
2024-2025,906065,MF
2024-2025,839493,DF
2024-2025,856250,DF
2024-2025,814735,DF
2024-2025,835480,FW
2024-2025,908716,DF
2024-2025,54308,DF
2024-2025,914848,DF
2024-2025,1116388,DF
2024-2025,293127,DF
2024-2025,1101232,DF
2024-2025,358108,DF
2024-2025,1107591,FW
2024-2025,1184855,DF
2024-2025,85859,FW
2024-2025,788949,DF
2024-2025,933203,DF
2024-2025,1035996,MF
2024-2025,327755,MF
2024-2025,817957,FW
2024-2025,1092409,DF
2024-2025,262911,DF
2024-2025,250737,Off_MF
2024-2025,1387156,DF
2024-2025,1884145,FW
2024-2025,991011,Off_MF
2024-2025,173883,DF
2024-2025,869856,Off_MF
2024-2025,363856,MF
2024-2025,68332,Def_MF
2024-2025,192442,FW
2024-2025,900003,FW
2024-2025,343971,FW
2024-2025,922759,DF
2024-2025,963298,Off_MF
2024-2025,609206,DF
2024-2025,979232,FW
2024-2025,945062,MF
2024-2025,883262,DF
2024-2025,840414,DF
2024-2025,944656,FW
2024-2025,979563,DF
2024-2025,921789,DF
2024-2025,353138,DF
2024-2025,1526627,DF
2024-2025,896180,MF
2024-2025,305278,DF
2024-2025,377118,DF
2024-2025,827942,DF
2024-2025,1086223,FW
2024-2025,286085,DF
2024-2025,295133,DF
2024-2025,1126175,DF
2024-2025,975800,FW
2024-2025,84972,FW
2024-2025,860307,DF
2024-2025,855663,DF
2024-2025,135666,FW
2024-2025,307702,DF
2024-2025,963198,DF
2024-2025,935564,FW
2024-2025,1396048,DF
2024-2025,843180,DF
2024-2025,345111,FW
2024-2025,1129935,MF
2024-2025,826215,DF
2024-2025,843678,MF
2024-2025,142259,DF
2024-2025,1048422,FW
2024-2025,823984,FW
2024-2025,96535,Off_MF
2024-2025,187207,Off_MF
2024-2025,930245,FW
2024-2025,799041,MF
2024-2025,1142233,DF
2024-2025,360396,DF
2024-2025,974087,MF
2024-2025,1009268,DF
2024-2025,996908,MF
2024-2025,954061,FW
2024-2025,1002920,DF
2024-2025,1122610,MF
2024-2025,362682,DF
2024-2025,1090963,Off_MF
2024-2025,889861,MF
2024-2025,1010421,DF
2024-2025,924378,DF
2024-2025,885864,MF
2024-2025,581302,DF
2024-2025,876599,FW
2024-2025,911853,DF
2024-2025,864921,Off_MF
2024-2025,353154,MF
2024-2025,905163,FW
2024-2025,1020744,DF
2024-2025,997087,FW
2024-2025,927356,DF
2024-2025,842419,DF
2024-2025,910031,Off_MF
2024-2025,886363,Off_MF
2024-2025,328027,FW
2024-2025,555386,FW
2024-2025,895324,MF
2024-2025,1101992,MF
2024-2025,936849,FW
2024-2025,827212,DF
2024-2025,138126,DF
2024-2025,910978,DF
2024-2025,945616,DF
2024-2025,330051,FW
2024-2025,829093,MF
2024-2025,181581,MF
2024-2025,913654,DF
2024-2025,911848,MF
2024-2025,977679,DF
2024-2025,818481,DF
2024-2025,973418,DF
2024-2025,231946,Off_MF
2024-2025,226974,DF
2024-2025,920022,DF
2024-2025,801030,MF
2024-2025,1402913,DF
2024-2025,877201,FW
2024-2025,191204,DF
2024-2025,1084081,DF
2024-2025,892673,MF
2024-2025,827504,DF
2024-2025,984789,DF
2024-2025,177177,DF
2024-2025,150383,MF
2024-2025,1049517,DF
2024-2025,151003,DF
2024-2025,329195,DF
2024-2025,69408,DF
2024-2025,848276,FW
2024-2025,905352,FW
2024-2025,988351,MF
2024-2025,537552,Off_MF
2024-2025,354878,DF
2024-2025,783374,FW
2024-2025,773409,FW
2024-2025,916041,MF
2024-2025,385888,MF
2024-2025,1199043,MF
2024-2025,149593,MF
2024-2025,807291,DF
2024-2025,804621,MF
2024-2025,41789,FW
2024-2025,1002837,DF
2024-2025,331209,Off_MF
2024-2025,798936,DF
2024-2025,227864,DF
2024-2025,170129,DF
2024-2025,933707,MF
2024-2025,846471,DF
2024-2025,293581,FW
2024-2025,141080,DF
2024-2025,1006489,DF
2024-2025,1171451,Off_MF
2024-2025,859025,DF
2024-2025,863133,DF
2024-2025,783278,FW
2024-2025,827506,Off_MF
2024-2025,51665,MF
2024-2025,878938,MF
2024-2025,788027,DF
2024-2025,1049775,DF
2024-2025,835601,FW
2024-2025,965778,DF
2024-2025,254125,DF
2024-2025,845286,Off_MF
2024-2025,596736,DF
2024-2025,928104,DF
2024-2025,1012444,FW
2024-2025,825740,MF
2024-2025,1002033,DF
2024-2025,937324,MF
2024-2025,149479,MF
2024-2025,758168,DF
2024-2025,855832,MF
2024-2025,994546,MF
2024-2025,859773,MF
2024-2025,826171,MF
2024-2025,839956,FW
2024-2025,228981,FW
2024-2025,998950,Off_MF
2024-2025,855835,Off_MF
2024-2025,965828,DF
2024-2025,901882,MF
2024-2025,963493,DF
2024-2025,110783,MF
2024-2025,108515,MF
2024-2025,999028,DF
2024-2025,344847,DF
2024-2025,823941,FW
2024-2025,300522,DF
2024-2025,962408,DF
2024-2025,67647,Off_MF
2024-2025,999070,FW
2024-2025,287887,DF
2024-2025,576266,DF
2024-2025,921369,FW
2024-2025,44864,DF
2024-2025,790989,DF
2024-2025,316148,MF
2024-2025,865912,Off_MF
2024-2025,235672,FW
2024-2025,942116,FW
2024-2025,843200,DF
2024-2025,361696,DF
2024-2025,350560,DF
2024-2025,135256,Def_MF
2024-2025,363860,MF
2024-2025,173827,FW
2024-2025,930189,MF
2024-2025,980637,DF
2024-2025,856714,Off_MF
2024-2025,542038,DF
2024-2025,900433,Off_MF
2024-2025,830127,Off_MF
2024-2025,847030,DF
2024-2025,831005,FW
2024-2025,980634,DF
2024-2025,945830,MF
2024-2025,78893,FW
2024-2025,377302,DF
2024-2025,1089453,DF
2024-2025,569784,MF
2024-2025,259117,MF
2024-2025,826198,FW
2024-2025,787941,MF
2024-2025,1154611,Def_MF
2024-2025,1105779,MF
2024-2025,1402912,FW
2024-2025,876259,MF
2024-2025,790965,FW
2024-2025,138150,DF
2024-2025,81992,DF
2024-2025,891346,DF
2024-2025,811629,MF
2024-2025,814589,DF
2024-2025,992587,MF
2024-2025,946888,MF
2024-2025,979820,MF
2024-2025,237068,Def_MF
2024-2025,252821,DF
2024-2025,117777,MF
2024-2025,949707,DF
2024-2025,826643,FW
2024-2025,1142562,MF
2024-2025,907072,Off_MF
2024-2025,827681,DF
2024-2025,823085,DF
2024-2025,805123,FW
2024-2025,145188,DF
2024-2025,896073,DF
2024-2025,1050692,DF
2024-2025,101882,DF
2024-2025,827679,DF
2024-2025,879346,MF
2024-2025,1015240,DF
2024-2025,146853,DF
2024-2025,986245,DF
2024-2025,974505,Off_MF
2024-2025,928103,DF
2024-2025,37318,FW
2024-2025,187313,MF
2024-2025,962012,DF
2024-2025,50480,FW
2024-2025,966837,MF
2024-2025,886930,DF
2024-2025,985329,Off_MF
2024-2025,227672,DF
2024-2025,253469,DF
2024-2025,805137,DF
2024-2025,893642,DF
2024-2025,552884,FW
2024-2025,891511,FW
2024-2025,1015267,MF
2024-2025,548188,MF
2024-2025,352770,FW
2024-2025,1067582,DF
2024-2025,794939,DF
2024-2025,909991,MF
2024-2025,800417,DF
2024-2025,898815,DF
2024-2025,288205,Off_MF
2024-2025,996928,DF
2024-2025,331737,MF
2024-2025,831808,MF
2024-2025,941168,DF
2024-2025,889785,DF
2024-2025,1028307,MF
2024-2025,839156,FW
2024-2025,100389,MF
2024-2025,877994,DF
2024-2025,363042,DF
2024-2025,254429,DF
2024-2025,927304,DF
2024-2025,830803,DF
2024-2025,106337,MF
2024-2025,965031,DF
2024-2025,893998,DF
2024-2025,900792,DF
2024-2025,861972,DF
2024-2025,910267,DF
2024-2025,876643,DF
2024-2025,797286,DF
2024-2025,1084399,FW
2024-2025,988275,DF
2024-2025,823631,FW
2024-2025,972421,DF
2024-2025,918440,MF
2024-2025,1023567,DF
2024-2025,931278,DF
2024-2025,948261,FW
2024-2025,822518,DF
2024-2025,879674,DF
2024-2025,856719,DF
2024-2025,958982,FW
2024-2025,933641,DF
2024-2025,893549,Off_MF
2024-2025,611210,DF
2024-2025,996911,DF
2024-2025,1064026,DF
2024-2025,863653,DF
2024-2025,904897,MF
2024-2025,1096210,DF
2024-2025,803174,DF
2024-2025,848355,DF
2024-2025,227894,MF
2024-2025,1199282,DF
2024-2025,982780,Off_MF
2024-2025,934354,FW
2024-2025,115516,MF
2024-2025,807116,DF
2024-2025,541578,DF
2024-2025,870360,DF
2024-2025,352736,DF
2024-2025,852404,MF
2024-2025,866469,MF
2024-2025,964994,DF
2024-2025,1144630,DF
2024-2025,88528,DF
2024-2025,153257,DF
2024-2025,151545,DF
2024-2025,99090,DF
2024-2025,836168,DF
2024-2025,1097425,DF
2024-2025,894474,DF
2024-2025,987650,MF
2024-2025,159665,FW
2024-2025,332155,DF
2024-2025,927083,FW
2024-2025,848287,DF
2024-2025,958916,DF
2024-2025,786175,DF
2025-2026,151581,DF
2025-2026,980732,DF
2025-2026,1884150,MF
2025-2026,1410178,MF
2025-2026,1212165,FW
2025-2026,1861678,FW
2025-2026,1430809,FW
2025-2026,2205650,FW
2025-2026,928879,FW
2025-2026,1214843,Off_MF
2025-2026,1424191,DF
2025-2026,1134525,FW
2025-2026,1142573,Off_MF
2025-2026,1429059,MF
2025-2026,1417034,FW
2025-2026,1937851,MF
2025-2026,1470008,Off_MF
2025-2026,914749,Def_MF
2025-2026,2198232,DF
2025-2026,1211005,Off_MF
2025-2026,1011895,FW
2025-2026,1135605,FW
2025-2026,1822931,FW
2025-2026,966836,FW
2025-2026,2007889,Def_MF
2025-2026,979210,MF
2025-2026,964106,Def_MF
2025-2026,758666,MF
2025-2026,232306,FW
2025-2026,2115056,DF
2025-2026,1392812,Off_MF
2025-2026,235460,MF
2025-2026,870038,FW
2025-2026,1937806,FW
2025-2026,1545190,FW
2025-2026,1891025,Def_MF
2025-2026,1905699,Def_MF
2025-2026,1899712,DF
2025-2026,254713,DF
2025-2026,1149293,DF
2025-2026,1927719,Off_MF
2025-2026,1482463,FW
2025-2026,850971,FW
2025-2026,1090010,DF
2025-2026,1491660,FW
2025-2026,907530,DF
2025-2026,591750,MF
2025-2026,936848,Off_MF
2025-2026,1397347,DF
2025-2026,153444,DF
2025-2026,807400,Off_MF
2025-2026,602164,Off_MF
2025-2026,2007717,MF
2025-2026,1467990,Off_MF
2025-2026,1398204,MF
2025-2026,1922996,FW
2025-2026,1895197,Off_MF
2025-2026,1177565,FW
2025-2026,804472,MF
2025-2026,361326,Off_MF
2025-2026,1403088,MF
2025-2026,1489220,Def_MF
2025-2026,1153193,MF
2025-2026,2369898,FW
2025-2026,1928235,DF
2025-2026,1164381,Off_MF
2025-2026,1005725,Def_MF
2025-2026,812946,Off_MF
2025-2026,1014651,Def_MF
2025-2026,914691,Off_MF
2025-2026,1801193,DF
2025-2026,1927696,FW
2025-2026,1418624,Def_MF
2025-2026,161325,DF
2025-2026,1201520,DF
2025-2026,1928232,MF
2025-2026,1481370,MF
2025-2026,1819178,FW
2025-2026,963801,FW
2025-2026,1165722,DF
2025-2026,1976732,FW
2025-2026,1937040,DF
2025-2026,76632,DF
2025-2026,1521250,FW
2025-2026,1386639,FW
2025-2026,1121333,Off_MF
2025-2026,361790,MF
2025-2026,1163083,FW
2025-2026,1427148,FW
2025-2026,945768,FW
2025-2026,790977,DF
2025-2026,2189165,Off_MF
2025-2026,1415436,DF
2025-2026,1126692,MF
2025-2026,1548439,DF
2025-2026,1139724,DF
2025-2026,978301,MF
2025-2026,150396,DF
2025-2026,1590761,FW
2025-2026,2250107,FW
2025-2026,280631,FW
2025-2026,1587196,DF
2025-2026,1010891,FW
2025-2026,826492,FW
2025-2026,1465865,FW
2025-2026,1513466,DF
2025-2026,1013041,MF
2025-2026,1438837,FW
2025-2026,1008245,MF
2025-2026,801411,DF
2025-2026,1394099,FW
2025-2026,187423,DF
2025-2026,1985103,FW
2025-2026,791566,MF
2025-2026,1464642,FW
2025-2026,928814,DF
2025-2026,857480,Off_MF
2025-2026,1492676,DF
2025-2026,826183,MF
2025-2026,1518564,FW
2025-2026,989203,Off_MF
2025-2026,292665,MF
2025-2026,930231,DF
2025-2026,1860172,Def_MF
2025-2026,349526,Off_MF
2025-2026,156019,MF
2025-2026,944899,DF
2025-2026,906276,FW
2025-2026,1151851,FW
2025-2026,1403018,DF
2025-2026,869931,MF
2025-2026,1167066,FW
2025-2026,1606641,MF
2025-2026,1901143,DF
2025-2026,2238900,MF
2025-2026,1065051,FW
2025-2026,827192,DF
2025-2026,1503757,FW
2025-2026,1520814,FW
2025-2026,857471,FW
2025-2026,1526933,DF
2025-2026,1136702,Off_MF
2025-2026,1012409,MF
2025-2026,1117025,Off_MF
2025-2026,885864,MF
2025-2026,1406171,MF
2025-2026,2114948,Def_MF
2025-2026,1029456,FW
2025-2026,2192753,DF
2025-2026,1113488,Off_MF
2025-2026,27028,FW
2025-2026,1587199,Off_MF
2025-2026,795005,DF
2025-2026,204286,FW
2025-2026,357584,DF
2025-2026,1895833,FW
2025-2026,1134578,FW
2025-2026,1090681,DF
2025-2026,319853,DF
2025-2026,1426222,Def_MF
2025-2026,1615784,FW
2025-2026,1457536,DF
2025-2026,1518971,Off_MF
2025-2026,1891021,Off_MF
2025-2026,849731,DF
2025-2026,1402726,MF
2025-2026,352562,DF
2025-2026,135256,Def_MF
2025-2026,1895829,Def_MF
2025-2026,1523623,FW
2025-2026,151900,DF
2025-2026,1459764,Off_MF
2025-2026,1068286,DF
2025-2026,955245,Off_MF
2025-2026,2245371,FW
2025-2026,1895964,DF
2025-2026,280439,FW
2025-2026,1016893,FW
2025-2026,842513,DF
2025-2026,1154861,FW
2025-2026,841985,FW
2025-2026,1130950,Off_MF
2025-2026,1545297,DF
2025-2026,1922473,DF
2025-2026,1495719,DF
2025-2026,1516812,MF
2025-2026,1482433,FW
2025-2026,365802,MF
2025-2026,1170523,MF
2025-2026,1403216,FW
2025-2026,991604,FW
2025-2026,988632,FW
2025-2026,1137131,DF
2025-2026,111802,MF
2025-2026,2017474,FW
2025-2026,1639543,FW
2025-2026,920680,DF
2025-2026,1652590,DF
2025-2026,136710,Def_MF
2025-2026,982316,DF
2025-2026,1168513,DF
2025-2026,882592,MF
2025-2026,1099175,FW
2025-2026,1551242,Def_MF
2025-2026,1083410,MF
2025-2026,1482457,MF
2025-2026,94758,DF
2025-2026,21949,Off_MF
2025-2026,1474296,FW
2025-2026,147745,FW
2025-2026,1605225,DF
2025-2026,983816,MF
2025-2026,1823916,MF
2025-2026,829581,FW
2025-2026,886628,Off_MF
2025-2026,1469180,DF
2025-2026,146852,FW
2025-2026,148256,Def_MF
2025-2026,1216080,MF
2025-2026,357752,DF
2025-2026,826139,FW
2025-2026,871621,Off_MF
2025-2026,254449,DF
2025-2026,816810,FW
2025-2026,842869,DF
2025-2026,1917626,FW
2025-2026,2070311,FW
2025-2026,845464,MF
2025-2026,1149152,Off_MF
2025-2026,1155321,FW
2025-2026,1390490,DF
2025-2026,1008456,DF
2025-2026,1516047,Off_MF
2025-2026,136322,DF
2025-2026,1086346,DF
2025-2026,1016810,Off_MF
2025-2026,96369,FW
2025-2026,1386651,Off_MF
2025-2026,823631,FW
2025-2026,1157382,Off_MF
2025-2026,1430667,Off_MF
2025-2026,1018547,FW
2025-2026,940236,DF
2025-2026,108673,Off_MF
2025-2026,1149288,Off_MF
2025-2026,826013,FW
2025-2026,845025,MF
2025-2026,1495856,DF
2025-2026,1953923,Off_MF
2025-2026,1525361,DF
2025-2026,153218,DF
2025-2026,353250,DF
2025-2026,1936816,FW
2025-2026,143040,MF
2025-2026,1657108,Off_MF
2025-2026,826205,DF
2025-2026,809219,DF
2025-2026,254297,FW
2025-2026,1155571,FW
2025-2026,1117026,Def_MF
2025-2026,1914318,FW
2025-2026,985262,DF
2025-2026,123228,FW
2025-2026,1937795,DF
2025-2026,995671,FW
2025-2026,327863,DF
2025-2026,1162309,FW
2025-2026,1484974,FW
2025-2026,857229,DF
2025-2026,934351,DF
2025-2026,1021075,Off_MF
2025-2026,103417,Off_MF
2025-2026,1394735,FW
2025-2026,1101942,FW
2025-2026,1910643,DF
2025-2026,174975,DF
2025-2026,949780,FW
2025-2026,220223,FW
2025-2026,259995,DF
2025-2026,825901,FW
2025-2026,1945133,DF
2025-2026,782240,MF
2025-2026,1562126,MF
2025-2026,19352,DF
2025-2026,132704,FW
2025-2026,1002564,DF
2025-2026,14990,FW
2025-2026,1152923,DF
2025-2026,1618563,FW
2025-2026,363774,DF
2025-2026,1568511,DF
2025-2026,336655,FW
2025-2026,1394353,Off_MF
2025-2026,1087476,Off_MF
2025-2026,1020141,DF
2025-2026,121180,DF
2025-2026,1910527,MF
2025-2026,1009268,DF
2025-2026,1068891,DF
2025-2026,1013239,MF
2025-2026,1884145,FW
2025-2026,1414933,FW
2025-2026,78781,Off_MF
2025-2026,1154647,FW
2025-2026,845486,MF
2025-2026,1142094,MF
2025-2026,1520799,FW
2025-2026,942937,MF
2025-2026,907667,Off_MF
2025-2026,1568535,Off_MF
2025-2026,1130111,FW
2025-2026,1092515,Off_MF
2025-2026,873947,FW
2025-2026,175753,FW
2025-2026,988037,DF
2025-2026,1099344,FW
2025-2026,252815,DF
2025-2026,1499870,DF
2025-2026,1463503,FW
2025-2026,1128638,FW
2025-2026,1545023,MF
2025-2026,1493157,FW
2025-2026,844480,Off_MF
2025-2026,356032,DF
2025-2026,850823,FW
2025-2026,1897492,DF
2025-2026,377512,Def_MF
2025-2026,876858,FW
2025-2026,49639,MF
2025-2026,930813,DF
2025-2026,328145,FW
2025-2026,855864,DF
2025-2026,1003334,Off_MF
2025-2026,1126588,Off_MF
2025-2026,1401702,Off_MF
2025-2026,2318284,FW
2025-2026,978521,FW
2025-2026,1028306,DF
2025-2026,1129751,DF
2025-2026,1014987,DF
2025-2026,1862226,FW
2025-2026,791642,DF
2025-2026,873717,MF
2025-2026,235538,FW
2025-2026,135264,FW
2025-2026,1508537,FW
2025-2026,1596105,MF
2025-2026,994529,FW
2025-2026,287643,DF
2025-2026,1888501,FW
2025-2026,1861665,Off_MF
2025-2026,1426577,FW
2025-2026,1144143,DF
2025-2026,1153083,Off_MF
2025-2026,941179,DF
2025-2026,1392054,Off_MF
2025-2026,1597197,Off_MF
2025-2026,839925,MF
2025-2026,1807070,DF
2025-2026,1019318,FW
2025-2026,1512354,Off_MF
2025-2026,1500263,DF
2025-2026,888537,FW
2025-2026,1403061,FW
2025-2026,1174472,FW
2025-2026,1399702,DF
2025-2026,1506932,Def_MF
2025-2026,1406130,DF
2025-2026,1069488,MF
2025-2026,1894085,DF
2025-2026,932764,FW
2025-2026,1086128,FW
2025-2026,344129,Off_MF
2025-2026,1106573,MF
2025-2026,1416535,FW
2025-2026,1462434,FW
2025-2026,887766,Off_MF
2025-2026,2277165,Off_MF
2025-2026,2198657,FW
2025-2026,1893910,FW
2025-2026,1979970,DF
2025-2026,947929,Off_MF
2025-2026,869275,Off_MF
2025-2026,1514800,FW
2025-2026,1442036,DF
2025-2026,798820,FW
2025-2026,975300,FW
2025-2026,136922,DF
2025-2026,845386,FW
2025-2026,831290,FW
2025-2026,1426224,MF
2025-2026,975811,FW
2025-2026,1418703,FW
2025-2026,1094440,FW
2025-2026,877371,MF
2025-2026,858194,Off_MF
2025-2026,848355,DF
2025-2026,1046028,FW
2025-2026,962364,FW
2025-2026,794839,FW
2025-2026,1126175,DF
2025-2026,855808,FW
2025-2026,1136731,DF
2025-2026,793988,Off_MF
2025-2026,1536811,FW
2025-2026,954044,DF
2025-2026,1140859,FW
2025-2026,66492,DF
2025-2026,32048,FW
2025-2026,1464025,Off_MF
2025-2026,980406,DF
2025-2026,186795,DF
2025-2026,893642,DF
2025-2026,826167,DF
2025-2026,2077075,DF
2025-2026,1120947,DF
2025-2026,1066045,Off_MF
2025-2026,152077,DF
2025-2026,286165,FW
2025-2026,796455,FW
2025-2026,1048333,FW
2025-2026,856065,DF
2025-2026,1546267,FW
2025-2026,902381,FW
2025-2026,359742,MF
2025-2026,1494096,DF
2025-2026,980418,DF
2025-2026,825740,MF
2025-2026,808590,Off_MF
2025-2026,1131581,FW
2025-2026,904827,DF
2025-2026,218616,FW
2025-2026,1049528,Off_MF
2025-2026,1133715,DF
2025-2026,826069,FW
2025-2026,1153265,FW
2025-2026,357598,FW
2025-2026,591132,FW
2025-2026,990743,Off_MF
2025-2026,928295,FW
2025-2026,168937,DF
2025-2026,139410,DF
2025-2026,894396,FW
2025-2026,126588,DF
2025-2026,850035,DF
2025-2026,76132,FW
2025-2026,1000263,FW
2025-2026,1140599,FW
2025-2026,1183625,DF
2025-2026,1009661,MF
2025-2026,547838,MF
2025-2026,1048889,Off_MF
2025-2026,1130946,Off_MF
2025-2026,255239,DF
2025-2026,1198264,Def_MF
2025-2026,1402908,DF
2025-2026,47743,DF
2025-2026,1146250,DF
2025-2026,3041,DF
2025-2026,359664,FW
2025-2026,14718,DF
2025-2026,2073555,DF
2025-2026,965357,FW
2025-2026,892430,DF
2025-2026,937324,MF
2025-2026,2142283,FW
2025-2026,1049775,DF
2025-2026,838399,DF
2025-2026,1000150,FW
2025-2026,856737,DF
2025-2026,846471,DF
2025-2026,893962,DF
