season,sofa_player_id,Pos
2017-2018,190319,FW
2017-2018,23666,MF
2017-2018,318967,MF
2017-2018,26031,DF
2017-2018,96538,DF
2017-2018,139798,FW
2017-2018,39543,FW
2017-2018,359246,MF
2017-2018,841065,FW
2017-2018,13694,DF
2017-2018,795713,MF
2017-2018,152255,DF
2017-2018,14819,Off_MF
2017-2018,189127,FW
2017-2018,30530,MF
2017-2018,18841,FW
2017-2018,188407,FW
2017-2018,81992,DF
2017-2018,32946,DF
2017-2018,131916,DF
2017-2018,823476,MF
2017-2018,309546,FW
2017-2018,176021,DF
2017-2018,581308,Off_MF
2017-2018,33901,DF
2017-2018,132149,DF
2017-2018,797306,DF
2017-2018,2565,MF
2017-2018,826946,FW
2017-2018,82401,DF
2017-2018,37377,FW
2017-2018,1879,Def_MF
2017-2018,27912,DF
2017-2018,845092,MF
2017-2018,246319,MF
2017-2018,21301,MF
2017-2018,16405,MF
2017-2018,88697,FW
2017-2018,18998,FW
2017-2018,37126,FW
2017-2018,182243,MF
2017-2018,355486,DF
2017-2018,814594,DF
2017-2018,37778,DF
2017-2018,144076,MF
2017-2018,30127,MF
2017-2018,548660,MF
2017-2018,15046,MF
2017-2018,16674,FW
2017-2018,37313,DF
2017-2018,255999,MF
2017-2018,2896,FW
2017-2018,545780,MF
2017-2018,149670,DF
2017-2018,13698,DF
2017-2018,116683,DF
2017-2018,559470,MF
2017-2018,74069,FW
2017-2018,793988,MF
2017-2018,41831,FW
2017-2018,71707,Off_MF
2017-2018,252819,DF
2017-2018,136743,DF
2017-2018,43932,FW
2017-2018,171961,Off_MF
2017-2018,50071,DF
2017-2018,34639,DF
2017-2018,190839,DF
2017-2018,319861,Off_MF
2017-2018,609226,FW
2017-2018,38502,Off_MF
2017-2018,828239,DF
2017-2018,33302,DF
2017-2018,793985,MF
2017-2018,16586,DF
2017-2018,18082,FW
2017-2018,7938,FW
2017-2018,26285,MF
2017-2018,825775,FW
2017-2018,827573,DF
2017-2018,359742,MF
2017-2018,591696,MF
2017-2018,1100227,MF
2017-2018,185349,Off_MF
2017-2018,147776,DF
2017-2018,106345,MF
2017-2018,335823,DF
2017-2018,187841,MF
2017-2018,128674,MF
2017-2018,27919,MF
2017-2018,17416,DF
2017-2018,47549,DF
2017-2018,793228,DF
2017-2018,286103,FW
2017-2018,105964,FW
2017-2018,827688,DF
2017-2018,33427,FW
2017-2018,359642,FW
2017-2018,40983,DF
2017-2018,804621,Off_MF
2017-2018,147745,FW
2017-2018,21300,DF
2017-2018,122702,FW
2017-2018,330099,MF
2017-2018,45956,MF
2017-2018,246471,Off_MF
2017-2018,294597,FW
2017-2018,880775,FW
2017-2018,94178,MF
2017-2018,18735,FW
2017-2018,37805,MF
2017-2018,847180,FW
2017-2018,877837,FW
2017-2018,328027,FW
2017-2018,846447,DF
2017-2018,46620,FW
2017-2018,796047,MF
2017-2018,333261,FW
2017-2018,168943,Off_MF
2017-2018,284371,Off_MF
2017-2018,580802,MF
2017-2018,3275,MF
2017-2018,84069,DF
2017-2018,576266,DF
2017-2018,227942,DF
2017-2018,159675,MF
2017-2018,357598,FW
2017-2018,18914,FW
2017-2018,869943,FW
2017-2018,291665,FW
2017-2018,16081,FW
2017-2018,74027,Off_MF
2017-2018,137665,FW
2017-2018,845083,Off_MF
2017-2018,3263,DF
2017-2018,14376,FW
2017-2018,53826,DF
2017-2018,801287,Off_MF
2017-2018,55053,FW
2017-2018,96368,DF
2017-2018,43938,DF
2017-2018,141832,DF
2017-2018,376854,DF
2017-2018,16776,FW
2017-2018,846439,DF
2017-2018,126236,Off_MF
2017-2018,253517,FW
2017-2018,129874,DF
2017-2018,182001,Off_MF
2017-2018,226974,DF
2017-2018,824238,Off_MF
2017-2018,826944,FW
2017-2018,814589,DF
2017-2018,76133,Off_MF
2017-2018,151037,Def_MF
2017-2018,383560,DF
2017-2018,280009,FW
2017-2018,611876,Off_MF
2017-2018,285941,FW
2017-2018,830551,DF
2017-2018,66471,FW
2017-2018,25577,FW
2017-2018,352768,DF
2017-2018,17694,DF
2017-2018,51617,FW
2017-2018,352296,FW
2017-2018,340563,DF
2017-2018,308692,FW
2017-2018,309306,FW
2017-2018,37151,Off_MF
2017-2018,47625,MF
2017-2018,34556,DF
2017-2018,818244,FW
2017-2018,167855,Off_MF
2017-2018,37092,Off_MF
2017-2018,28221,FW
2017-2018,294641,FW
2017-2018,44036,MF
2017-2018,3095,FW
2017-2018,131901,MF
2017-2018,183483,FW
2017-2018,319129,FW
2017-2018,190159,FW
2017-2018,16459,MF
2017-2018,102291,FW
2017-2018,284845,FW
2017-2018,878923,DF
2017-2018,150396,DF
2017-2018,537018,MF
2017-2018,845385,Off_MF
2017-2018,280553,Off_MF
2017-2018,166381,DF
2017-2018,27035,Off_MF
2017-2018,32965,Def_MF
2017-2018,308054,MF
2017-2018,127257,MF
2017-2018,25552,DF
2017-2018,253871,DF
2017-2018,180511,Off_MF
2017-2018,1053,DF
2017-2018,149730,FW
2017-2018,281253,FW
2017-2018,39121,MF
2017-2018,212074,FW
2017-2018,88471,Off_MF
2017-2018,788027,DF
2017-2018,123166,MF
2017-2018,90168,DF
2017-2018,137667,DF
2017-2018,26235,MF
2017-2018,22337,DF
2017-2018,69367,Off_MF
2017-2018,171677,FW
2017-2018,254159,Off_MF
2017-2018,2436,FW
2017-2018,107420,DF
2017-2018,11764,Off_MF
2017-2018,133236,DF
2017-2018,16657,Off_MF
2017-2018,114497,FW
2017-2018,72127,FW
2017-2018,217770,DF
2017-2018,87223,DF
2017-2018,193554,Off_MF
2017-2018,156401,DF
2017-2018,100568,DF
2017-2018,280609,FW
2017-2018,136710,MF
2017-2018,2033,FW
2017-2018,54331,MF
2017-2018,893141,DF
2017-2018,12673,DF
2017-2018,371222,MF
2017-2018,74506,DF
2017-2018,31938,DF
2017-2018,800407,DF
2017-2018,227858,MF
2017-2018,802142,Off_MF
2017-2018,19633,FW
2017-2018,180009,Off_MF
2017-2018,606346,DF
2017-2018,148352,Off_MF
2017-2018,806964,Off_MF
2017-2018,123228,FW
2017-2018,139094,DF
2017-2018,368120,MF
2017-2018,842171,Off_MF
2017-2018,369866,MF
2017-2018,1954,DF
2017-2018,97001,Off_MF
2017-2018,380974,FW
2017-2018,93885,MF
2017-2018,122124,DF
2017-2018,250453,FW
2017-2018,801391,Off_MF
2017-2018,37504,Off_MF
2017-2018,317179,MF
2017-2018,354510,FW
2017-2018,142390,Off_MF
2017-2018,330939,Off_MF
2017-2018,76632,DF
2017-2018,15857,MF
2017-2018,97905,FW
2017-2018,41116,FW
2017-2018,587074,DF
2017-2018,294313,MF
2017-2018,21212,FW
2017-2018,22566,MF
2017-2018,49120,FW
2017-2018,55119,Off_MF
2017-2018,592012,FW
2017-2018,3090,MF
2017-2018,11831,DF
2017-2018,39068,DF
2017-2018,260065,MF
2017-2018,138837,DF
2017-2018,9729,DF
2017-2018,3413,DF
2017-2018,13139,MF
2017-2018,21249,MF
2017-2018,846145,DF
2017-2018,27916,DF
2017-2018,893063,FW
2017-2018,178015,Off_MF
2017-2018,46800,DF
2017-2018,285949,Off_MF
2017-2018,86528,DF
2017-2018,53816,FW
2017-2018,551410,MF
2017-2018,226780,FW
2017-2018,1830,MF
2017-2018,946,FW
2017-2018,13028,MF
2017-2018,82555,MF
2017-2018,356444,FW
2017-2018,52740,MF
2017-2018,132318,DF
2017-2018,587906,MF
2017-2018,553488,Off_MF
2017-2018,352486,Off_MF
2017-2018,794953,DF
2017-2018,194446,MF
2017-2018,785518,DF
2017-2018,21992,MF
2017-2018,201988,MF
2017-2018,826651,DF
2017-2018,590036,DF
2017-2018,873947,Off_MF
2017-2018,49647,MF
2017-2018,313022,Off_MF
2017-2018,17895,FW
2017-2018,9692,Off_MF
2017-2018,49736,DF
2017-2018,18987,MF
2017-2018,16121,FW
2017-2018,26995,MF
2017-2018,103289,Off_MF
2017-2018,40249,MF
2017-2018,768,DF
2017-2018,3504,FW
2017-2018,54311,DF
2017-2018,120444,DF
2017-2018,336655,FW
2017-2018,80110,FW
2017-2018,835601,FW
2017-2018,27543,DF
2017-2018,228342,MF
2017-2018,73980,DF
2017-2018,228981,FW
2017-2018,80406,Off_MF
2017-2018,30646,DF
2017-2018,1465,DF
2017-2018,341589,MF
2017-2018,108574,Off_MF
2017-2018,60848,FW
2017-2018,372336,Off_MF
2017-2018,142525,DF
2017-2018,10501,FW
2017-2018,295133,DF
2017-2018,43301,Def_MF
2017-2018,280441,FW
2017-2018,129185,DF
2017-2018,3592,MF
2017-2018,243175,DF
2017-2018,32664,DF
2017-2018,26231,FW
2017-2018,56601,MF
2017-2018,152276,FW
2017-2018,28186,DF
2017-2018,34853,Off_MF
2017-2018,850035,DF
2017-2018,30376,DF
2017-2018,110210,DF
2017-2018,826293,DF
2017-2018,83247,MF
2017-2018,37234,DF
2017-2018,16710,DF
2017-2018,73056,MF
2017-2018,103364,DF
2017-2018,44575,DF
2017-2018,6948,DF
2017-2018,18297,Off_MF
2017-2018,80008,DF
2017-2018,781544,DF
2017-2018,845084,FW
2017-2018,914835,DF
2017-2018,2976,DF
2017-2018,583838,FW
2017-2018,158573,DF
2017-2018,188269,MF
2017-2018,830288,DF
2017-2018,4370,MF
2017-2018,249929,FW
2017-2018,38094,MF
2017-2018,33902,FW
2017-2018,39472,DF
2017-2018,106249,FW
2017-2018,1135884,Off_MF
2017-2018,34125,DF
2017-2018,97926,DF
2017-2018,5712,FW
2017-2018,94539,MF
2017-2018,171927,FW
2017-2018,273,MF
2017-2018,826208,MF
2017-2018,39009,Off_MF
2017-2018,794838,DF
2017-2018,42802,Off_MF
2017-2018,149606,DF
2017-2018,142619,MF
2017-2018,839110,MF
2017-2018,249409,Def_MF
2017-2018,125813,Def_MF
2017-2018,170499,FW
2017-2018,257205,FW
2017-2018,816839,DF
2017-2018,37191,FW
2017-2018,836706,MF
2017-2018,21881,MF
2017-2018,785929,FW
2017-2018,826215,DF
2017-2018,169255,DF
2017-2018,29773,MF
2017-2018,831808,MF
2017-2018,70492,FW
