PlayerId,BX,BY,C
3306,14,6,17
3306,14,7,7
3306,14,8,6
3306,14,9,7
3306,14,10,11
3306,14,11,17
3306,14,12,22
3306,14,13,20
3306,14,14,28
3306,14,15,23
3306,14,16,33
3306,14,17,20
3306,14,18,16
3306,14,19,5
3306,15,1,5
3306,15,2,5
3306,15,3,11
3306,15,4,11
3306,15,5,9
3306,15,6,10
3306,15,7,8
3306,15,8,8
3306,15,9,6
3306,15,10,12
3306,15,11,10
3306,15,12,12
3306,15,13,24
3306,15,14,29
3306,15,15,27
3306,15,16,20
3306,15,17,15
3306,15,18,15
3306,15,19,3
3306,16,0,1
3306,16,1,3
3306,16,2,2
3306,16,3,5
3306,16,4,6
3306,16,5,6
3306,16,6,4
3306,16,7,4
3306,16,8,2
3306,16,9,11
3306,16,10,14
3306,16,11,5
3306,16,12,5
3306,16,13,11
3306,16,14,21
3306,16,15,6
3306,16,16,7
3306,16,17,9
3306,16,18,6
3306,16,19,1
3306,17,0,1
3306,17,1,1
3306,17,2,4
3306,17,3,2
3306,17,4,4
3306,17,5,8
3306,17,6,2
3306,17,7,9
3306,17,8,9
3306,17,9,12
3306,17,10,25
3306,17,11,11
3306,17,12,11
3306,17,13,14
3306,17,14,15
3306,17,15,9
3306,17,16,4
3306,17,17,13
3306,17,18,5
3306,18,0,1
3306,18,1,1
3306,18,3,2
3306,18,4,4
3306,18,5,4
3306,18,6,3
3306,18,7,5
3306,18,8,10
3306,18,9,12
3306,18,10,21
3306,18,11,9
3306,18,12,6
3306,18,13,5
3306,18,14,12
3306,18,15,8
3306,18,16,1
3306,18,17,2
3306,18,18,2
3306,18,19,2
3306,19,0,3
3306,19,1,1
3306,19,3,2
3306,19,4,1
3306,19,5,1
3306,19,6,2
3306,19,8,3
3306,19,9,4
3306,19,10,4
3306,19,11,6
3306,19,12,6
3306,19,13,6
3306,19,14,12
3306,19,15,5
3306,19,16,1
3306,19,17,1
3306,19,19,6
4419,0,0,3
4419,0,1,7
4419,0,2,3
4419,0,4,2
4419,0,5,3
4419,0,7,1
4419,0,9,1
4419,0,11,1
4419,0,14,1
4419,0,16,1
4419,1,0,3
4419,1,1,4
4419,1,2,3
4419,1,3,2
4419,1,4,1
4419,1,5,4
4419,1,8,1
4419,1,11,2
4419,1,14,1
4419,1,19,1
4419,2,0,2
4419,2,1,9
4419,2,2,12
4419,2,3,3
4419,2,4,1
4419,2,5,3
4419,2,6,3
4419,2,7,2
4419,2,8,4
4419,2,9,1
4419,2,10,2
4419,2,11,2
4419,2,12,2
4419,2,13,1
4419,3,0,6
4419,3,1,7
4419,3,2,7
4419,3,3,1
4419,3,4,3
4419,3,5,1
4419,3,6,4
4419,3,7,3
4419,3,8,1
4419,3,9,1
4419,3,10,2
4419,4,0,6
4419,4,1,3
4419,4,2,8
4419,4,3,3
4419,4,4,2
4419,4,5,6
4419,4,7,2
4419,4,8,2
4419,4,13,1
4419,4,14,1
4419,4,18,1
4419,5,0,12
4419,5,1,10
4419,5,2,10
4419,5,3,16
4419,5,4,7
4419,5,5,5
4419,5,6,8
4419,5,7,1
4419,5,8,4
4419,5,9,1
4419,5,10,8
4419,5,11,1
4419,6,0,16
4419,6,1,12
4419,6,2,12
4419,6,3,9
4419,6,4,19
4419,6,5,8
4419,6,6,7
4419,6,7,4
4419,6,8,4
4419,6,9,1
4419,6,10,1
4419,6,17,3
4419,7,0,13
4419,7,1,20
4419,7,2,22
4419,7,3,6
4419,7,4,7
4419,7,5,7
4419,7,6,6
4419,7,7,4
4419,7,8,2
4419,7,9,2
4419,7,10,3
4419,7,11,2
4419,7,12,1
4419,7,17,1
4419,8,0,13
4419,8,1,20
4419,8,2,14
4419,8,3,18
4419,8,4,14
4419,8,5,10
4419,8,6,1
4419,8,7,4
4419,8,8,2
4419,8,10,2
4419,8,11,1
4419,8,14,1
4419,9,0,8
4419,9,1,8
4419,9,2,22
4419,9,3,11
4419,9,4,10
4419,9,5,10
4419,9,6,6
4419,9,7,4
