Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand
Eliot Matazo,Monaco,fr Ligue 1,MF,19,790,8.8,,,233.63636363636363,Solid Squad Player,,
Aleš Matějů,Venezia,it Serie A,DF,25,727,8.1,,,,,341.793503586876,Solid Squad Player
Jean-Philippe Mateta,Crystal Palace,eng Premier League,FW,24,1145,12.7,371.5173609251224,Solid Squad Player,,,,
Nemanja Matić,Manchester Utd,eng Premier League,MF,32,1382,15.4,,,535.5844155844156,Top Starter,,
Joël Matip,Liverpool,eng Premier League,DF,29,2790,31.0,,,,,396.843937801493,Solid Squad Player
Azor Matusiwa,Reims,fr Ligue 1,MF,23,2463,27.4,,,253.69829683698296,Solid Squad Player,,
Neal Maupay,Brighton,eng Premier League,FW,24,2276,25.3,318.3176649667333,Solid Squad Player,,,,
Stephy Mavididi,Montpellier,fr Ligue 1,FW,23,2299,25.5,336.9958724230433,Solid Squad Player,,,,
Konstantinos Mavropanos,Stuttgart,de Bundesliga,DF,23,2705,30.1,,,,,539.9865111283191,Top Starter
Borja Mayoral,Getafe,es La Liga,FW,24,1044,11.6,388.6855109860036,Solid Squad Player,,,,
Pasquale Mazzocchi,Venezia,it Serie A,DF,26,1243,13.8,,,,,302.23164410807436,Solid Squad Player
Pasquale Mazzocchi,Salernitana,it Serie A,DF,26,1269,14.1,,,,,251.7265439549874,Solid Squad Player
Kevin Mbabu,Wolfsburg,de Bundesliga,DF,26,1391,15.5,,,,,428.44228851699137,Top Starter
Kylian Mbappé,Paris S-G,fr Ligue 1,FW,22,3023,33.6,861.340424000288,World Class,,,,
Amadou Mbengue,Metz,fr Ligue 1,Def_MF,19,610,6.8,,,,,424.1332764990054,Top Starter
Bryan Mbeumo,Brentford,eng Premier League,FW,21,2905,32.3,278.54698487582175,Solid Squad Player,,,,
Nathanael Mbuku,Reims,fr Ligue 1,FW,19,1418,15.8,206.35371757704485,Solid Squad Player,,,,
James McArthur,Crystal Palace,eng Premier League,MF,33,1439,16.0,,,466.25000000000006,Top Starter,,
John McGinn,Aston Villa,eng Premier League,MF,26,3090,34.3,,,502.31292517006807,Top Starter,,
Weston McKennie,Juventus,it Serie A,Off_MF,22,1369,15.2,244.7732456140351,Solid Squad Player,,,,
Kenny McLean,Norwich City,eng Premier League,MF,29,2706,30.1,,,204.23034330011072,Solid Squad Player,,
Dwight McNeil,Burnley,eng Premier League,Off_MF,21,3107,34.5,165.84191971474579,Below Big-5 Level,,,,
Scott McTominay,Manchester Utd,eng Premier League,MF,24,2387,26.5,,,326.5408805031447,Solid Squad Player,,
Gary Medel,Bologna,it Serie A,DF,33,2823,31.4,,,,,396.3381915510645,Solid Squad Player
Facundo Medina,Lens,fr Ligue 1,DF,22,2593,28.8,,,,,394.28826696370544,Solid Squad Player
Nathan de Medina,Arminia,de Bundesliga,DF,23,775,8.6,,,,,381.82397501858946,Solid Squad Player
Ben Mee,Burnley,eng Premier League,DF,31,1839,20.4,,,,,388.7650498796009,Solid Squad Player
Filippo Melegoni,Genoa,it Serie A,FW,22,980,10.9,167.13984411297645,Below Big-5 Level,,,,
Óscar Melendo,Espanyol,es La Liga,FW,23,990,11.0,145.28849721706865,Below Big-5 Level,,,,
Gonzalo Melero,Levante,es La Liga,MF,27,1692,18.8,,,424.18439716312054,Top Starter,,
Birger Meling,Rennes,fr Ligue 1,DF,26,1829,20.3,,,,,312.35132165388836,Solid Squad Player
Arthur Melo,Juventus,it Serie A,MF,24,962,10.7,,,253.45794392523368,Solid Squad Player,,
Memphis,Barcelona,es La Liga,FW,27,1851,20.6,591.8911124320277,Top Starter,,,,
