Player,OffScore_mean,MidScore_mean,DefScore_mean,Min,90s
Adrián Liso,167.88914698670789,,,1109,12.3
Adrián López,313.7703949673076,,,4269,47.4
Adrián Marín,,,362.65376411830704,1737,19.3
Adrián Ramos,144.9625850340136,,,226,2.5
Adrián Sahibeddine,111.9047619047619,,,32,0.4
Adrián de la Fuente,,,437.4281615989659,952,10.6
Adryelson,,,504.7619047619048,6,0.1
Adson,190.37435897435896,,,238,2.6
Adu Ares,137.8737673869037,,,368,4.0
Afimico Pululu,56.83333333333334,,,70,0.8
Afonso Figueiredo,,,153.7015873015873,223,2.5
Afonso Moreira,505.1401516514894,,,565,6.3
Afriyie Acquah,197.84735449735453,296.8553459119497,,2461,27.4
Ager Aketxe,193.33333333333337,,,37,0.4
Agustín Martegani,,292.8888888888889,,731,8.1
Agustín Rogel,,,356.2313520056779,2284,25.3
Agustín Álvarez,322.0018619914091,,,368,4.1
Ahmad Benali,,396.6049382716049,,2025,22.5
Ahmad Ngouyamsa,,,449.3044256511748,212,2.3
Ahmed Elmohamady,,,336.1322208435222,1870,20.8
Ahmed Hegazi,,,465.3039271292351,3476,38.6
Ahmed Kutucu,267.5673222795817,,,1212,13.4
Ahmed Touba,,,530.3260105297456,277,3.1
Ahmet Gürleyen,,,249.6969696969697,13,0.1
Aiham Ousou,,,303.52193615351507,430,4.8
Aihen Muñoz,,,302.14957150410777,8935,99.2
Ailton,,,618.9250905040378,108,1.2
Aiman Dardari,,111.0,,34,0.4
Aimar Oroz,209.83523545698796,,,8104,90.1
Aimar Sher,,170.66666666666669,,45,0.5
Aimen Moueffek,,320.213768115942,409.03866090930126,2214,24.6
Aingeru Olabarrieta,59.63718820861678,,,63,0.7
Ainsley Maitland-Niles,,257.8718572587186,380.93531620309653,11802,131.2
Aitor Mañas,0.0,,,14,0.2
Aitor Paredes,,,358.8783013758,6195,68.7
Aitor Ruibal,236.7706902937973,100.0,333.3926533168751,8176,90.9
Ajdin Hrustic,257.6225146198831,342.803738317757,,1462,16.2
Akaki Gogia,248.6454365079365,,,261,2.9000000000000004
Akim Zedadka,,,283.7776605776423,5290,58.800000000000004
Akor Adams,248.36735117327353,,,3461,38.4
Aladji Bamba,,190.6666666666667,,131,1.5
Alaixys Romao,,249.668911335578,,4941,54.900000000000006
Alan Do Marcolino,0.0,,,19,0.2
Alan Empereur,,,412.68485541338725,1074,11.9
Alan Matturro,,,418.1757356353847,1184,13.2
Alan Virginius,235.34302849737992,,,1263,14.100000000000001
Alassane Pléa,460.9407555857208,,,17149,190.5
Alassane Sidibe,,,367.77777777777777,6,0.1
Albert Grønbaek,186.046604365652,,,1059,11.7
Albert Guðmundsson,338.66723137435304,,,5787,64.2
Albert Lottin,,240.00000000000003,478.66666666666674,67,0.7
Albert Sambi Lokonga,,377.9898997145785,393.9355877616747,5473,60.8
Alberth Elis,301.34961981534684,,,1666,18.599999999999998
Alberto Aquilani,,273.28703703703707,,1297,14.4
Alberto Basso,94.44444444444446,,,16,0.2
Alberto Bueno,,367.2000000000001,,226,2.5
Alberto Cerri,261.53094244362745,,,2335,26.0
Alberto Dadie,,,362.22222222222223,28,0.3
Alberto Del Moral,,24.0,,5,0.1
Alberto Dossena,,,428.5753634205813,4802,53.400000000000006
Alberto Grassi,,226.74092628001424,460.31246594747745,12413,138.0
Alberto López,,,552.5079365079365,45,0.5
Alberto Manzoni,,93.33333333333331,,6,0.1
Alberto Marí,334.00846479571516,,,369,4.2
Alberto Moleiro,362.77319385204913,,,5512,61.3
Alberto Moreno,336.3597805788982,,280.4091889074565,9061,100.6
Alberto Paloschi,164.5776503154743,,,3689,41.1
Alberto Perea,170.045717167596,,,2371,26.299999999999997
Alberto Redondo,,,357.3910533910534,90,1.0
Alberto Reina,,312.79693486590037,,784,8.7
Alberto Risco,265.4319444444444,,,206,2.3
Alberto Soro,207.02358255170756,,,979,10.9
Alberto costa,,,400.0852130325814,357,4.0
Alberto de la Bella,,,350.65428276573783,1528,17.0
Albian Ajeti,100.93197278911563,,,139,1.5
Albian Hajdari,,,523.4283348489217,1017,11.3
Albin Ekdal,,277.4496935030781,,11809,131.2
Aleandro Rosi,,,308.3323829856829,1700,18.9
Aleix Febas,,372.08977033257383,,3337,37.1
Aleix García,,581.0770926411739,,11174,124.3
Aleix Garrido,0.0,,,7,0.1
Aleix Vidal,273.621151912837,,307.3336725464071,6674,74.2
Alejandro Alfaro,0.0,,,15,0.2
Alejandro Arribas,,,402.8582567529935,270,3.0
Alejandro Asensio,190.47619047619045,,,12,0.1
Alejandro Balde,,,201.40389537494178,7354,81.8
Alejandro Blanco,89.11275584795321,,,596,6.6000000000000005
Alejandro Blesa,,233.33333333333337,,11,0.1
Alejandro Francés,,,407.39009917957276,1581,17.5
