Player,Squad,Comp,Pos,Season,90s,Succ_Per90,Cmp%,PrgC_Per90,PrgR_Per90,TB_Per90,Gls_Per90,Ast_Per90,xG_Per90,xAG_Per90,SoT_Per90,SCA_Per90,KP_Per90,TklW_Per90,Int_Per90,Blocks_Per90,Clr_Per90,Recov_Per90,Carries_Per90
Jordan Ayew,Swansea City,eng Premier League,"FW,MF",2017-2018,31.7,2.334,78.9,2.397,7.319,0.095,0.221,0.063,0.23,0.063,0.631,2.618,0.505,1.893,0.757,1.356,0.631,4.448,28.612
Karim Azamoum,Troyes,fr Ligue 1,MF,2017-2018,25.0,0.52,68.5,1.04,3.04,0.04,0.04,0.0,0.048,0.072,0.28,1.76,0.84,2.28,1.04,1.2,2.44,5.32,22.52
César Azpilicueta,Chelsea,eng Premier League,DF,2017-2018,37.0,0.162,84.4,1.649,2.189,0.27,0.054,0.162,0.035,0.13,0.081,1.649,0.838,1.595,1.459,1.297,3.649,5.595,52.946
Ludovic Baal,Rennes,fr Ligue 1,DF,2017-2018,12.9,1.395,76.5,2.248,2.713,0.0,0.0,0.0,0.0,0.078,0.0,1.628,0.543,2.093,1.163,1.008,2.868,8.062,35.504
Khouma Babacar,Fiorentina,it Serie A,FW,2017-2018,5.0,0.6,74.8,2.0,7.6,0.2,0.8,0.2,0.78,0.22,2.2,2.6,1.6,0.8,0.4,0.0,1.0,3.6,21.8
Khouma Babacar,Sassuolo,it Serie A,FW,2017-2018,8.3,0.361,78.1,1.325,6.265,0.12,0.241,0.12,0.422,0.12,0.602,1.807,0.723,0.723,0.361,0.964,0.12,2.651,16.506
Carlos Bacca,Villarreal,es La Liga,FW,2017-2018,27.7,1.264,72.1,2.022,6.787,0.036,0.542,0.217,0.505,0.17,1.191,2.708,1.083,0.072,0.289,0.578,0.578,1.949,16.426
Milan Badelj,Fiorentina,it Serie A,MF,2017-2018,26.1,1.111,82.8,0.92,1.341,0.307,0.077,0.038,0.077,0.107,0.23,3.716,1.609,1.571,2.72,1.839,1.992,7.586,40.69
Holger Badstuber,Stuttgart,de Bundesliga,"DF,MF",2017-2018,24.1,0.29,82.7,0.498,0.041,0.0,0.083,0.0,0.05,0.004,0.207,0.373,0.041,1.328,1.701,1.12,4.606,4.938,25.145
Farès Bahlouli,Lille,fr Ligue 1,"MF,FW",2017-2018,3.4,4.118,65.1,3.235,10.0,0.0,0.294,0.0,0.059,0.206,0.588,5.294,3.235,2.353,0.294,2.059,0.294,4.412,39.118
Stéphane Bahoken,Strasbourg,fr Ligue 1,FW,2017-2018,18.5,0.378,68.8,1.676,6.703,0.0,0.378,0.054,0.362,0.092,0.811,1.73,0.703,0.595,0.486,0.973,0.054,2.595,18.378
Daniel Baier,Augsburg,de Bundesliga,MF,2017-2018,28.2,0.426,72.7,1.17,1.028,0.106,0.0,0.071,0.032,0.067,0.177,2.589,0.957,2.199,2.021,0.922,1.454,7.553,30.922
Leon Bailey,Leverkusen,de Bundesliga,"FW,DF",2017-2018,24.6,2.358,68.0,4.512,10.61,0.0,0.366,0.244,0.325,0.272,1.098,5.203,2.398,0.488,0.61,1.138,0.244,5.325,36.504
Eric Bailly,Manchester Utd,eng Premier League,DF,2017-2018,11.1,0.36,86.0,0.27,0.0,0.09,0.09,0.0,0.099,0.018,0.09,0.36,0.18,0.901,2.252,0.991,5.225,5.225,23.243
Leighton Baines,Everton,eng Premier League,DF,2017-2018,21.2,0.377,76.7,1.462,2.877,0.0,0.094,0.142,0.099,0.09,0.094,2.17,1.132,0.613,1.179,0.849,2.642,4.104,23.679
Riad Bajić,Udinese,it Serie A,"FW,MF",2017-2018,0.9,1.111,68.4,1.111,11.111,1.111,0.0,0.0,0.222,0.222,1.111,4.444,2.222,0.0,0.0,0.0,3.333,1.111,22.222
Marvin Bakalorz,Hannover 96,de Bundesliga,MF,2017-2018,22.8,0.658,68.8,0.921,2.719,0.088,0.0,0.044,0.075,0.092,0.219,1.886,0.614,1.096,0.877,1.667,2.018,3.991,19.825
Cédric Bakambu,Villarreal,es La Liga,FW,2017-2018,14.0,0.714,71.3,2.643,5.714,0.071,0.643,0.0,0.421,0.114,1.071,1.786,1.071,0.5,0.214,0.643,1.929,2.714,21.5
Tiemoué Bakayoko,Chelsea,eng Premier League,MF,2017-2018,23.6,1.525,85.8,1.653,2.415,0.0,0.085,0.085,0.136,0.051,0.339,1.907,0.678,1.737,1.568,0.975,1.61,7.161,34.873
Zakaria Bakkali,La Coruña,es La Liga,"FW,MF",2017-2018,10.1,1.683,75.6,3.267,9.802,0.099,0.0,0.0,0.119,0.03,0.594,3.366,0.792,0.99,0.396,0.495,0.594,4.554,27.03
Ridle Baku,Mainz 05,de Bundesliga,MF,2017-2018,2.6,1.154,78.8,2.692,2.692,0.0,0.769,0.0,0.346,0.038,1.154,3.077,0.385,1.154,1.154,1.154,0.769,6.154,19.615
Keita Baldé,Monaco,fr Ligue 1,"FW,MF",2017-2018,16.4,1.829,70.9,3.476,8.476,0.122,0.488,0.305,0.329,0.14,0.671,2.561,0.915,0.488,0.366,0.61,0.305,4.39,23.537
Gareth Bale,Real Madrid,es La Liga,"FW,MF",2017-2018,20.0,1.55,77.4,3.75,10.85,0.1,0.8,0.1,0.59,0.25,1.55,3.55,2.05,0.65,0.6,0.65,0.9,1.85,35.25
Mikel Balenziaga,Athletic Club,es La Liga,DF,2017-2018,17.2,0.814,75.7,1.686,4.128,0.0,0.0,0.116,0.012,0.058,0.0,0.988,0.407,1.395,0.988,1.395,3.547,5.291,26.744
Andrija Balić,Udinese,it Serie A,MF,2017-2018,12.0,2.0,79.5,1.333,1.583,0.083,0.0,0.083,0.067,0.05,0.25,2.833,1.167,0.75,1.333,0.5,1.083,8.75,31.667
Iván Balliu,Metz,fr Ligue 1,DF,2017-2018,21.7,0.737,76.2,1.567,4.24,0.0,0.0,0.046,0.009,0.046,0.092,1.751,0.461,1.014,1.244,1.06,2.949,5.161,33.226
Fodé Ballo-Touré,Lille,fr Ligue 1,DF,2017-2018,22.8,0.702,82.8,1.886,4.298,0.0,0.0,0.0,0.004,0.031,0.088,0.965,0.307,1.579,1.228,1.184,2.061,5.789,29.825
Florent Balmont,Dijon,fr Ligue 1,MF,2017-2018,9.6,0.833,81.9,1.042,2.188,0.104,0.104,0.312,0.031,0.177,0.312,2.708,0.729,0.938,0.833,1.562,0.521,8.125,40.312
Leon Balogun,Mainz 05,de Bundesliga,DF,2017-2018,13.0,0.769,74.2,0.308,0.077,0.0,0.0,0.0,0.008,0.0,0.077,0.385,0.077,2.462,2.462,1.615,4.923,4.0,22.846
Mario Balotelli,Nice,fr Ligue 1,FW,2017-2018,25.2,1.19,74.3,1.825,6.865,0.357,0.714,0.04,0.607,0.123,1.786,3.611,1.31,0.159,0.317,0.357,1.032,1.667,22.222
Abdoulaye Bamba,Angers,fr Ligue 1,DF,2017-2018,17.0,0.529,76.9,1.882,3.235,0.0,0.0,0.0,0.006,0.029,0.059,1.118,0.353,1.294,0.647,0.471,3.059,4.765,28.235
Jonathan Bamba,Saint-Étienne,fr Ligue 1,FW,2017-2018,28.6,1.503,74.5,4.056,8.636,0.28,0.245,0.28,0.315,0.304,0.734,3.741,1.888,0.734,0.664,1.049,0.594,5.594,32.762
Yacine Bammou,Nantes,fr Ligue 1,"MF,FW",2017-2018,8.1,0.247,70.2,1.852,7.284,0.123,0.37,0.0,0.123,0.025,0.864,2.099,0.741,1.358,0.741,1.975,1.111,6.42,25.309
Éver Banega,Sevilla,es La Liga,MF,2017-2018,26.7,3.109,82.1,2.884,3.034,0.375,0.112,0.112,0.142,0.232,0.375,5.393,2.472,1.985,0.449,0.861,0.637,9.139,66.592
Mattia Bani,Chievo,it Serie A,DF,2017-2018,14.6,0.0,82.3,0.068,0.205,0.0,0.0,0.0,0.021,0.0,0.0,0.068,0.0,1.37,1.849,1.301,7.603,4.452,27.877
Beni Baningime,Everton,eng Premier League,MF,2017-2018,2.2,0.455,81.7,0.455,1.364,0.0,0.0,0.0,0.0,0.0,0.0,1.364,0.0,0.909,0.909,2.273,0.909,4.091,24.545
Léo Baptistão,Espanyol,es La Liga,"FW,MF",2017-2018,29.7,1.01,65.1,2.559,6.296,0.168,0.269,0.101,0.343,0.084,0.875,2.391,0.842,1.145,0.774,0.741,0.842,4.31,21.785
Antonín Barák,Udinese,it Serie A,MF,2017-2018,30.1,1.03,77.3,2.226,4.219,0.066,0.233,0.1,0.093,0.11,0.731,2.757,0.997,1.262,0.598,1.13,0.864,5.714,31.694
Andrea Barberis,Crotone,it Serie A,MF,2017-2018,33.7,0.534,70.8,0.475,1.662,0.0,0.059,0.03,0.045,0.092,0.237,2.018,1.009,1.306,1.721,1.543,1.988,5.905,18.635
Enis Bardhi,Levante,es La Liga,MF,2017-2018,17.6,1.42,76.1,2.216,3.239,0.114,0.511,0.057,0.176,0.074,0.739,3.239,1.307,1.477,0.909,0.625,0.398,5.284,30.341
Phil Bardsley,Burnley,eng Premier League,DF,2017-2018,12.5,0.24,67.1,0.56,0.56,0.0,0.0,0.0,0.0,0.024,0.16,1.12,0.4,1.28,1.76,1.76,6.16,4.88,20.08
Nicolò Barella,Cagliari,it Serie A,MF,2017-2018,32.8,1.524,75.3,1.677,3.079,0.152,0.183,0.061,0.11,0.058,0.244,2.683,1.067,2.104,1.372,1.463,1.616,7.439,32.957
Philipp Bargfrede,Werder Bremen,de Bundesliga,MF,2017-2018,20.7,0.242,79.0,0.821,0.435,0.0,0.048,0.048,0.029,0.039,0.242,1.546,0.386,2.174,2.271,1.691,2.512,6.715,23.768
Ross Barkley,Chelsea,eng Premier League,MF,2017-2018,1.4,3.571,73.6,5.0,9.286,0.0,0.0,0.0,0.571,0.071,0.714,2.857,1.429,0.0,0.0,2.143,1.429,2.143,30.0
Aymen Barkok,Eint Frankfurt,de Bundesliga,"FW,MF",2017-2018,3.5,1.143,73.3,0.857,5.429,0.0,0.0,0.286,0.029,0.143,0.0,2.286,2.0,3.143,0.571,2.286,0.857,6.0,25.143
Ashley Barnes,Burnley,eng Premier League,FW,2017-2018,24.1,0.664,59.5,0.705,5.27,0.124,0.373,0.0,0.278,0.066,0.913,2.116,0.705,0.581,0.083,1.079,0.788,3.61,19.253
Antonio Barragán,Betis,es La Liga,DF,2017-2018,26.4,0.53,79.9,1.894,7.5,0.076,0.0,0.227,0.027,0.106,0.152,1.818,0.795,1.591,0.909,0.833,2.5,4.962,41.818
Antonio Barreca,Torino,it Serie A,DF,2017-2018,5.2,0.385,80.0,1.346,3.462,0.0,0.0,0.0,0.0,0.019,0.0,0.962,0.385,1.538,0.962,0.577,3.077,5.192,27.885
Édgar Barreto,Sampdoria,it Serie A,MF,2017-2018,21.8,0.367,79.1,0.596,3.349,0.046,0.046,0.092,0.06,0.073,0.275,1.927,0.872,1.927,0.963,2.064,1.33,5.413,22.385
Barri,Getafe,es La Liga,"MF,FW",2017-2018,1.3,2.308,62.5,1.538,0.0,0.0,0.0,0.0,0.077,0.0,0.769,1.538,0.0,0.0,0.769,0.769,2.308,4.615,7.692
Musa Barrow,Atalanta,it Serie A,FW,2017-2018,4.9,1.633,76.9,2.653,11.02,0.0,0.612,0.204,0.429,0.245,2.857,4.898,2.245,0.408,0.204,0.408,0.408,2.041,29.592
Gareth Barry,West Brom,eng Premier League,MF,2017-2018,21.4,0.467,74.9,0.935,1.075,0.14,0.047,0.047,0.075,0.065,0.28,1.776,0.794,0.888,0.654,0.888,1.589,6.916,27.804
Fin Bartels,Werder Bremen,de Bundesliga,FW,2017-2018,12.5,1.6,71.4,2.64,9.68,0.08,0.16,0.24,0.168,0.264,0.72,3.52,1.84,0.72,0.56,0.4,0.08,2.56,25.6
Kyle Bartley,Swansea City,eng Premier League,DF,2017-2018,2.6,0.0,80.9,0.769,0.0,0.0,0.0,0.0,0.038,0.115,0.0,0.769,0.769,0.769,1.538,2.308,8.077,1.154,23.462
Marc Bartra,Betis,es La Liga,DF,2017-2018,15.8,1.392,85.4,1.013,0.253,0.19,0.063,0.0,0.051,0.044,0.253,1.139,0.316,1.772,2.025,1.203,6.139,7.152,54.684
Marc Bartra,Dortmund,de Bundesliga,DF,2017-2018,9.0,0.556,78.0,1.556,0.778,0.0,0.222,0.111,0.022,0.133,0.333,1.333,0.444,2.111,3.111,1.556,4.778,4.556,43.556
Andrea Barzagli,Juventus,it Serie A,DF,2017-2018,16.1,0.124,91.8,0.559,0.435,0.0,0.0,0.062,0.0,0.025,0.0,0.745,0.248,0.932,1.056,0.87,2.857,5.466,55.404
Daniele Baselli,Torino,it Serie A,MF,2017-2018,28.0,0.786,81.1,1.036,2.75,0.107,0.143,0.0,0.136,0.054,0.321,2.393,0.857,1.179,2.036,1.036,1.429,7.107,36.464
Nicolas Basin,Metz,fr Ligue 1,DF,2017-2018,3.5,0.0,69.5,1.143,2.571,0.0,0.286,0.0,0.029,0.029,0.286,1.714,0.571,2.0,2.286,1.714,4.0,5.429,22.0
Dušan Basta,Lazio,it Serie A,DF,2017-2018,8.6,0.465,75.4,2.093,5.93,0.0,0.0,0.116,0.058,0.023,0.349,2.209,0.698,0.814,1.512,1.163,1.744,5.698,30.581
Gil Bastião Dias,Fiorentina,it Serie A,"FW,MF",2017-2018,13.2,2.348,77.1,4.394,11.515,0.152,0.152,0.227,0.136,0.083,0.758,4.015,1.667,2.348,1.439,1.742,0.909,5.758,33.788
Samuel Bastien,Chievo,it Serie A,MF,2017-2018,15.1,0.596,81.9,1.192,3.775,0.066,0.066,0.0,0.06,0.02,0.265,1.523,0.464,0.861,1.192,1.523,1.656,4.901,25.629
Borja Bastón,Málaga,es La Liga,FW,2017-2018,10.9,0.275,72.5,0.642,5.963,0.275,0.183,0.0,0.468,0.009,0.734,1.927,0.367,0.642,0.275,0.642,0.459,1.835,16.422
Alessandro Bastoni,Atalanta,it Serie A,DF,2017-2018,1.0,2.0,81.4,1.0,12.0,0.0,0.0,0.0,0.0,0.1,0.0,3.0,2.0,2.0,1.0,0.0,3.0,6.0,53.0
Bastos,Lazio,it Serie A,DF,2017-2018,15.6,0.833,91.0,1.218,0.256,0.0,0.256,0.0,0.186,0.013,0.256,0.513,0.256,1.538,1.538,0.833,4.295,6.538,42.564
Michy Batshuayi,Chelsea,eng Premier League,FW,2017-2018,4.0,1.25,69.1,2.25,8.0,0.0,0.5,0.25,0.275,0.025,1.25,2.25,0.25,1.0,0.25,0.0,0.75,2.25,20.0
Michy Batshuayi,Dortmund,de Bundesliga,FW,2017-2018,9.3,0.753,68.0,0.538,5.376,0.0,0.753,0.108,0.785,0.032,1.505,2.258,0.43,0.645,0.0,0.43,0.538,1.505,14.194
Moritz Bauer,Stoke City,eng Premier League,"DF,MF",2017-2018,14.5,0.828,63.0,1.724,3.103,0.0,0.0,0.0,0.014,0.062,0.069,1.586,0.897,1.172,0.828,0.621,3.31,3.724,16.483
Robert Bauer,Werder Bremen,de Bundesliga,"DF,FW",2017-2018,10.6,0.094,73.4,1.226,1.132,0.0,0.0,0.0,0.0,0.019,0.0,1.321,0.377,2.358,1.981,0.755,2.358,5.094,20.755
Timo Baumgartl,Stuttgart,de Bundesliga,DF,2017-2018,29.0,0.0,81.9,0.241,0.414,0.0,0.0,0.0,0.017,0.01,0.034,0.483,0.207,2.448,1.172,1.724,4.552,3.759,28.931
Julian Baumgartlinger,Leverkusen,de Bundesliga,"MF,DF",2017-2018,15.5,0.387,90.3,0.968,1.613,0.065,0.065,0.0,0.077,0.045,0.258,1.677,0.71,2.387,1.161,1.613,1.484,6.452,43.419
Jon Bautista,Real Sociedad,es La Liga,"FW,MF",2017-2018,2.0,0.5,77.1,1.5,6.0,0.0,0.5,0.0,0.65,0.05,1.5,1.5,0.5,0.0,0.0,1.0,0.0,2.5,13.5
Paul Baysse,Málaga,es La Liga,DF,2017-2018,13.8,0.217,81.6,0.0,0.217,0.0,0.072,0.0,0.08,0.0,0.145,0.217,0.0,1.159,1.449,0.725,6.087,4.058,25.29
Paul Baysse,Bordeaux,fr Ligue 1,DF,2017-2018,6.3,0.317,86.1,1.111,0.159,0.0,0.0,0.0,0.095,0.0,0.159,0.317,0.0,0.317,1.111,0.635,6.032,6.667,32.698
Noah Joel Sarenren Bazee,Hannover 96,de Bundesliga,"FW,MF",2017-2018,1.3,2.308,37.5,3.077,11.538,0.0,0.0,0.0,0.0,0.0,0.0,0.769,0.0,0.0,0.0,2.308,2.308,2.308,26.154
Hervé Bazile,Caen,fr Ligue 1,"MF,FW",2017-2018,9.7,1.959,55.6,2.887,11.34,0.0,0.0,0.103,0.134,0.113,0.515,3.196,1.443,1.546,1.546,2.268,0.825,5.464,24.639
Riechedly Bazoer,Wolfsburg,de Bundesliga,MF,2017-2018,6.6,0.455,84.5,0.909,2.121,0.0,0.0,0.0,0.045,0.03,0.303,1.061,0.455,1.061,1.212,0.303,0.606,3.182,18.333
Enrico Bearzotti,Hellas Verona,it Serie A,"DF,FW",2017-2018,4.6,0.217,74.6,0.435,3.043,0.0,0.0,0.0,0.022,0.0,0.217,1.087,0.217,0.435,0.87,0.652,3.913,3.696,22.174
Claudio Beauvue,Leganés,es La Liga,FW,2017-2018,18.6,0.699,64.8,0.968,3.763,0.108,0.108,0.0,0.226,0.07,0.484,1.935,0.484,0.161,0.108,0.376,0.86,1.667,14.14
Bebé,Eibar,es La Liga,"MF,FW",2017-2018,4.1,1.951,56.4,3.415,9.024,0.0,0.0,0.244,0.073,0.415,0.244,2.683,1.951,1.707,0.732,1.22,0.244,4.634,35.122
Ihlas Bebou,Hannover 96,de Bundesliga,"MF,FW",2017-2018,23.8,2.563,69.8,3.151,7.563,0.084,0.21,0.084,0.218,0.231,0.798,4.37,1.765,1.218,1.008,1.429,1.134,5.252,26.008
Andreas Beck,Stuttgart,de Bundesliga,DF,2017-2018,21.4,0.093,70.6,1.262,3.551,0.0,0.047,0.047,0.014,0.07,0.093,1.776,0.654,1.355,0.888,1.495,2.15,3.738,28.738
Henri Bedimo,Marseille,fr Ligue 1,"DF,FW",2017-2018,0.5,0.0,84.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,26.0
Jan Bednarek,Southampton,eng Premier League,DF,2017-2018,4.7,0.0,72.0,0.0,0.0,0.0,0.213,0.0,0.043,0.0,0.213,0.426,0.0,0.638,1.064,0.426,5.745,5.957,27.234
Valon Behrami,Udinese,it Serie A,MF,2017-2018,15.5,0.581,82.2,0.516,0.581,0.129,0.065,0.0,0.032,0.019,0.129,1.677,0.581,2.968,1.419,3.032,1.226,6.968,20.774
Ishak Belfodil,Werder Bremen,de Bundesliga,FW,2017-2018,15.0,2.133,61.8,4.267,10.333,0.0,0.267,0.067,0.313,0.16,1.333,3.533,1.2,0.4,0.067,0.667,0.6,2.267,22.333
Stefan Bell,Mainz 05,de Bundesliga,DF,2017-2018,24.2,0.165,74.2,0.537,0.537,0.041,0.041,0.0,0.054,0.037,0.248,0.579,0.372,1.033,1.901,1.446,5.083,4.421,23.678
Karim Bellarabi,Leverkusen,de Bundesliga,"MF,FW",2017-2018,12.7,1.811,73.2,4.882,12.205,0.157,0.079,0.236,0.228,0.339,1.26,4.173,2.126,1.339,1.024,2.047,0.394,4.567,38.031
Héctor Bellerín,Arsenal,eng Premier League,DF,2017-2018,33.9,0.737,83.6,2.478,9.823,0.206,0.059,0.088,0.065,0.115,0.236,2.507,0.944,1.268,0.678,1.239,2.625,5.162,42.655
François Bellugou,Troyes,fr Ligue 1,MF,2017-2018,24.2,0.455,78.9,0.413,0.537,0.083,0.0,0.0,0.004,0.008,0.0,0.537,0.248,1.364,1.157,0.826,1.86,6.157,25.0
Andrea Belotti,Torino,it Serie A,FW,2017-2018,29.8,0.872,71.0,1.342,6.779,0.034,0.336,0.168,0.352,0.158,0.906,2.852,1.04,0.772,0.201,0.47,0.638,2.752,21.376
Chaouki Ben Saada,Troyes,fr Ligue 1,"FW,MF",2017-2018,3.8,3.684,74.5,3.421,7.632,0.789,0.0,0.0,0.079,0.263,0.263,4.474,2.632,2.105,0.526,0.789,0.789,5.526,40.0
Wissam Ben Yedder,Sevilla,es La Liga,FW,2017-2018,18.9,0.847,77.1,2.222,7.302,0.106,0.476,0.159,0.651,0.111,1.323,3.069,1.481,0.423,0.265,0.529,0.106,3.175,21.64
Ahmad Benali,Crotone,it Serie A,MF,2017-2018,9.0,0.333,77.7,1.889,4.111,0.222,0.111,0.111,0.1,0.033,0.333,2.556,0.889,1.111,0.889,1.556,1.667,7.111,28.444
Yohan Benalouane,Leicester City,eng Premier League,DF,2017-2018,1.0,0.0,63.2,1.0,4.0,0.0,0.0,0.0,0.1,0.0,1.0,2.0,0.0,3.0,1.0,1.0,4.0,5.0,19.0
Marco Benassi,Fiorentina,it Serie A,"MF,FW",2017-2018,30.9,0.453,73.5,2.006,6.181,0.259,0.162,0.097,0.129,0.1,0.841,2.751,1.294,1.23,0.906,1.683,1.165,4.854,30.129
Medhi Benatia,Juventus,it Serie A,DF,2017-2018,19.5,0.256,90.5,0.154,0.154,0.0,0.103,0.0,0.128,0.0,0.205,0.513,0.051,1.077,2.205,0.923,4.564,7.59,54.821
Lars Bender,Leverkusen,de Bundesliga,"DF,MF",2017-2018,17.7,0.508,76.1,1.695,4.746,0.113,0.113,0.226,0.119,0.113,0.282,2.26,1.073,2.938,1.582,1.921,2.26,3.842,33.503
Sven Bender,Leverkusen,de Bundesliga,DF,2017-2018,26.1,0.23,85.7,0.69,0.153,0.0,0.077,0.0,0.057,0.008,0.23,0.881,0.153,1.418,1.916,1.877,4.713,4.636,43.563
Nicolas Benezet,Guingamp,fr Ligue 1,"FW,MF",2017-2018,18.3,2.459,72.5,5.027,9.508,0.164,0.164,0.164,0.137,0.18,0.546,4.044,1.913,1.639,0.656,0.437,0.383,5.464,40.492
Charlison Benschop,Hannover 96,de Bundesliga,"MF,DF",2017-2018,2.0,0.5,70.4,2.0,5.5,0.0,0.5,0.0,0.15,0.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,4.0,24.5
Ramy Bensebaini,Rennes,fr Ligue 1,DF,2017-2018,26.0,0.885,74.8,1.731,2.962,0.0,0.0,0.038,0.05,0.081,0.115,1.346,0.346,1.5,1.423,0.923,6.808,6.308,31.5
Nabil Bentaleb,Schalke 04,de Bundesliga,MF,2017-2018,11.2,0.446,81.1,0.804,0.804,0.179,0.357,0.268,0.312,0.054,0.357,1.429,0.804,1.964,2.054,1.607,2.411,7.679,26.339
Rodrigo Bentancur,Juventus,it Serie A,MF,2017-2018,6.5,1.385,87.9,1.846,1.077,0.154,0.0,0.0,0.015,0.046,0.308,3.538,1.231,1.692,0.462,0.769,2.154,7.385,63.692
Christian Benteke,Crystal Palace,eng Premier League,FW,2017-2018,24.9,0.643,56.1,0.723,5.341,0.12,0.12,0.201,0.41,0.116,0.683,2.731,1.124,0.161,0.12,0.602,1.767,2.008,19.96
Karim Benzema,Real Madrid,es La Liga,FW,2017-2018,23.9,1.381,82.1,2.887,7.866,0.335,0.209,0.418,0.536,0.285,0.628,3.849,1.841,0.335,0.335,0.753,0.795,1.799,31.883
Yassine Benzia,Lille,fr Ligue 1,"MF,FW",2017-2018,25.4,2.087,77.6,2.362,5.394,0.787,0.039,0.197,0.059,0.217,0.276,4.724,2.402,1.614,1.102,1.22,0.551,5.472,41.339
Saido Berahino,Stoke City,eng Premier League,FW,2017-2018,5.5,0.182,75.8,1.091,5.455,0.182,0.0,0.182,0.364,0.109,0.545,1.636,0.545,0.364,0.182,0.727,0.364,2.364,16.182
Domenico Berardi,Sassuolo,it Serie A,FW,2017-2018,25.5,1.412,65.1,2.706,9.294,0.627,0.157,0.078,0.349,0.145,0.902,5.02,2.039,0.667,0.667,0.902,0.549,4.549,29.137
Yuri Berchiche,Paris S-G,fr Ligue 1,DF,2017-2018,19.1,0.628,86.5,2.147,7.592,0.0,0.105,0.209,0.021,0.11,0.209,1.885,0.838,1.414,1.257,0.785,2.775,4.66,40.838
Álex Berenguer,Torino,it Serie A,FW,2017-2018,11.6,3.017,72.9,3.793,9.397,0.086,0.086,0.259,0.086,0.19,0.776,3.966,2.069,1.293,0.862,1.897,1.121,4.914,35.172
Bartosz Bereszyński,Sampdoria,it Serie A,DF,2017-2018,27.6,0.906,79.1,1.449,2.319,0.0,0.0,0.036,0.004,0.036,0.0,1.268,0.435,1.703,1.087,1.196,3.551,5.58,30.435
Jóhann Berg Guðmundsson,Burnley,eng Premier League,MF,2017-2018,31.5,1.175,64.3,2.635,6.095,0.063,0.063,0.254,0.111,0.149,0.571,3.714,2.127,0.857,1.079,0.667,1.365,5.683,22.254
Markel Bergara,Getafe,es La Liga,MF,2017-2018,16.3,0.123,70.0,0.307,1.104,0.0,0.245,0.061,0.172,0.0,0.552,0.552,0.123,1.35,1.411,0.613,1.227,4.908,9.939
Emil Berggreen,Mainz 05,de Bundesliga,FW,2017-2018,7.4,0.135,61.8,0.0,5.541,0.0,0.541,0.27,0.27,0.122,1.081,1.486,0.946,0.27,0.135,0.946,1.351,2.162,19.054
Robert Berić,Saint-Étienne,fr Ligue 1,FW,2017-2018,11.6,0.259,69.2,1.207,4.052,0.0,0.603,0.086,0.552,0.06,1.034,1.207,0.345,0.345,0.431,0.776,0.345,2.069,10.69
Kévin Bérigaud,Montpellier,fr Ligue 1,"FW,MF",2017-2018,3.0,1.0,80.6,1.0,8.667,0.0,0.0,0.667,0.333,0.367,0.0,4.0,2.0,1.0,0.0,0.333,0.333,3.333,17.0
Federico Bernardeschi,Juventus,it Serie A,"FW,MF",2017-2018,9.4,2.447,80.0,2.872,9.255,0.426,0.426,0.319,0.298,0.213,1.17,3.723,1.489,0.532,1.17,0.957,1.915,5.0,41.064
Bernardo,RB Leipzig,de Bundesliga,DF,2017-2018,15.0,0.333,73.4,2.067,3.8,0.067,0.067,0.067,0.04,0.047,0.267,1.267,0.4,2.0,1.2,2.0,5.4,5.267,30.333
Juan Bernat,Bayern Munich,de Bundesliga,"DF,FW",2017-2018,9.9,1.313,89.7,2.424,10.303,0.0,0.0,0.202,0.03,0.152,0.0,2.626,1.111,1.919,1.01,1.111,0.909,3.434,41.919
Andrea Bertolacci,Genoa,it Serie A,MF,2017-2018,32.2,0.59,79.6,1.522,1.646,0.062,0.031,0.0,0.028,0.05,0.062,1.988,0.807,1.646,1.429,1.429,1.149,6.988,31.646
Ryan Bertrand,Southampton,eng Premier League,DF,2017-2018,34.8,0.489,75.5,2.557,6.121,0.029,0.0,0.115,0.049,0.089,0.057,2.184,1.034,1.006,1.264,0.805,2.126,4.195,35.172
Muhamed Bešić,Everton,eng Premier League,MF,2017-2018,0.5,0.0,96.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,4.0,2.0,6.0,46.0
Daniel Bessa,Hellas Verona,it Serie A,"MF,FW",2017-2018,15.4,0.974,80.1,2.857,3.831,0.0,0.065,0.065,0.065,0.117,0.26,3.247,1.494,1.234,0.909,0.779,0.519,5.844,27.403
Daniel Bessa,Genoa,it Serie A,MF,2017-2018,4.9,1.837,80.1,1.224,6.122,0.204,0.408,0.0,0.367,0.122,0.408,2.857,1.224,1.224,0.612,1.429,1.224,7.143,33.265
Vincent Bessat,Caen,fr Ligue 1,"DF,MF",2017-2018,17.4,0.575,74.7,1.782,7.414,0.0,0.0,0.057,0.034,0.08,0.287,2.184,1.092,1.552,1.034,1.092,1.034,6.839,26.322
Matteo Bianchetti,Hellas Verona,it Serie A,DF,2017-2018,1.4,0.0,73.5,0.0,2.857,0.0,0.0,0.0,0.0,0.0,0.0,1.429,0.0,0.714,1.429,2.143,5.714,4.286,17.857
