Player,Squad,Comp,Pos,Season,90s,Succ_Per90,Cmp%,PrgC_Per90,PrgR_Per90,TB_Per90,Gls_Per90,Ast_Per90,xG_Per90,xAG_Per90,SoT_Per90,SCA_Per90,KP_Per90,TklW_Per90,Int_Per90,Blocks_Per90,Clr_Per90,Recov_Per90,Carries_Per90
Pablo Durán,Celta Vigo,es La Liga,"FW,MF",2024-2025,15.5,0.774,71.0,1.548,8.0,0.065,0.258,0.258,0.232,0.181,,,1.097,0.581,0.516,0.774,1.161,2.968,21.806
Julien Duranville,Dortmund,de Bundesliga,"FW,MF",2024-2025,3.1,3.871,70.2,5.161,10.645,0.323,0.0,0.0,0.065,0.097,,,0.323,0.0,0.0,0.323,0.968,1.613,32.903
Hugo Duro,Valencia,es La Liga,FW,2024-2025,24.1,0.29,69.2,0.539,3.651,0.0,0.456,0.083,0.39,0.054,,,0.581,0.332,0.415,0.456,0.456,1.909,12.324
Jean-Kevin Duverne,Nantes,fr Ligue 1,DF,2024-2025,6.0,0.333,78.3,1.0,1.333,0.0,0.0,0.0,0.05,0.017,,,0.167,2.0,1.333,1.667,3.833,3.333,26.833
Paulo Dybala,Roma,it Serie A,"FW,MF",2024-2025,15.7,0.701,81.8,2.611,7.771,0.127,0.382,0.191,0.408,0.318,,,2.548,0.446,0.127,0.764,0.127,4.013,37.898
Stefan Džodić,Montpellier,fr Ligue 1,"DF,MF",2024-2025,2.7,0.0,89.8,0.741,0.0,0.0,0.0,0.0,0.037,0.0,,,0.0,1.852,1.852,1.852,3.704,3.704,47.037
Adam Dźwigała,St. Pauli,de Bundesliga,"DF,MF",2024-2025,4.1,0.244,81.6,0.244,0.976,0.244,0.0,0.0,0.098,0.0,,,0.0,2.439,0.976,1.463,6.829,3.171,26.829
Aron Dønnum,Toulouse,fr Ligue 1,"DF,MF",2024-2025,29.9,1.572,72.5,3.144,4.749,0.234,0.067,0.067,0.07,0.154,,,1.505,1.171,0.936,0.97,1.237,5.719,28.829
Enzo Ebosse,Udinese,it Serie A,DF,2024-2025,1.0,1.0,87.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,3.0,1.0,5.0,34.0
Tyronne Ebuehi,Empoli,it Serie A,"DF,MF",2024-2025,0.8,1.25,71.7,3.75,3.75,0.0,0.0,0.0,0.0,0.0,,,0.0,2.5,2.5,1.25,0.0,7.5,25.0
