Player,Squad,tm_player_id,MarketValue_EUR,MatchScore
Marc Bartra,Betis,99922.0,1000000.0,100
Marc Bartra,Dortmund,99922.0,1000000.0,100
Andrea Barzagli,Juventus,7109.0,1000000.0,100
Daniele Baselli,Torino,134883.0,500000.0,100
Nicolas Basin,Metz,365952.0,50000.0,100
Dušan Basta,Lazio,19694.0,200000.0,100
Gil Bastião Dias,Fiorentina,329723.0,1500000.0,100
Gil Bastião Dias,Monaco,329723.0,1500000.0,100
Samuel Bastien,Chievo,289510.0,400000.0,100
Borja Bastón,Málaga,85324.0,3500000.0,100
Alessandro Bastoni,Atalanta,315853.0,70000000.0,100
Bastos,Lazio,195810.0,1200000.0,100
Michy Batshuayi,Chelsea,179184.0,4000000.0,100
Michy Batshuayi,Dortmund,179184.0,4000000.0,100
Moritz Bauer,Stoke City,159692.0,200000.0,100
Robert Bauer,Werder Bremen,179634.0,800000.0,100
Timo Baumgartl,Stuttgart,187491.0,1800000.0,100
Julian Baumgartlinger,Leverkusen,34787.0,400000.0,100
Jon Bautista,Real Sociedad,289236.0,800000.0,100
Paul Baysse,Málaga,43256.0,800000.0,100
Paul Baysse,Bordeaux,43256.0,800000.0,100
Noah Joel Sarenren Bazee,Hannover 96,283001.0,500000.0,100
Hervé Bazile,Caen,95680.0,75000.0,100
Riechedly Bazoer,Wolfsburg,216443.0,3800000.0,100
Enrico Bearzotti,Hellas Verona,297731.0,100000.0,100
Claudio Beauvue,Leganés,58818.0,150000.0,100
Bebé,Eibar,153427.0,600000.0,100
Ihlas Bebou,Hannover 96,237164.0,1000000.0,100
Andreas Beck,Stuttgart,31182.0,200000.0,100
Henri Bedimo,Marseille,6803.0,400000.0,100
Jan Bednarek,Southampton,243028.0,18000000.0,100
Valon Behrami,Udinese,21905.0,300000.0,100
Ishak Belfodil,Werder Bremen,111039.0,1700000.0,100
Stefan Bell,Mainz 05,82350.0,800000.0,100
Karim Bellarabi,Leverkusen,61087.0,1000000.0,100
Héctor Bellerín,Arsenal,191217.0,2500000.0,100
François Bellugou,Troyes,75282.0,250000.0,100
Andrea Belotti,Torino,167727.0,1500000.0,100
Chaouki Ben Saada,Troyes,5597.0,150000.0,100
Wissam Ben Yedder,Sevilla,146854.0,8000000.0,100
Ahmad Benali,Crotone,121402.0,900000.0,100
Yohan Benalouane,Leicester City,50477.0,125000.0,100
Marco Benassi,Fiorentina,201040.0,1200000.0,100
Medhi Benatia,Juventus,45124.0,2500000.0,100
Lars Bender,Leverkusen,30059.0,5500000.0,100
Sven Bender,Leverkusen,29993.0,5500000.0,100
László Bénes,Gladbach,243188.0,3000000.0,100
Nicolas Benezet,Guingamp,164230.0,350000.0,100
Charlison Benschop,Hannover 96,66783.0,250000.0,100
Ramy Bensebaini,Rennes,284732.0,7000000.0,100
Nabil Bentaleb,Schalke 04,245537.0,6000000.0,100
Rodrigo Bentancur,Juventus,354362.0,27000000.0,100
Christian Benteke,Crystal Palace,50201.0,2500000.0,100
Karim Benzema,Real Madrid,18922.0,15000000.0,100
Yassine Benzia,Lille,187847.0,1000000.0,100
Saido Berahino,Stoke City,128897.0,600000.0,100
Domenico Berardi,Sassuolo,177843.0,8000000.0,100
Yuri Berchiche,Paris S-G,61812.0,1200000.0,100
Álex Berenguer,Torino,338425.0,5000000.0,100
Bartosz Bereszyński,Sampdoria,144143.0,1300000.0,100
Jóhann Berg Guðmundsson,Burnley,279255.0,100000.0,100
Markel Bergara,Getafe,51426.0,500000.0,100
Emil Berggreen,Mainz 05,234375.0,250000.0,100
Robert Berić,Saint-Étienne,91415.0,800000.0,100
Kévin Bérigaud,Montpellier,98351.0,100000.0,100
Federico Bernardeschi,Juventus,197300.0,3500000.0,100
Bernardo,RB Leipzig,364258.0,5500000.0,100
Juan Bernat,Bayern Munich,126719.0,4000000.0,100
Andrea Bertolacci,Genoa,99227.0,400000.0,100
Ryan Bertrand,Southampton,40611.0,500000.0,100
Muhamed Bešić,Everton,93905.0,1500000.0,100
Daniel Bessa,Hellas Verona,140757.0,3000000.0,100
Daniel Bessa,Genoa,140757.0,3000000.0,100
Vincent Bessat,Caen,50142.0,200000.0,100
Matteo Bianchetti,Hellas Verona,160986.0,800000.0,100
Ermin Bičakčić,Hoffenheim,51676.0,400000.0,100
Pedro Bigas,Las Palmas,203043.0,400000.0,100
Lucas Biglia,Milan,26721.0,250000.0,100
Philip Billing,Huddersfield,320411.0,18000000.0,100
Jean-Claude Billong,Benevento,391192.0,250000.0,100
Davide Biondini,Sassuolo,22186.0,100000.0,100
Cristiano Biraghi,Fiorentina,124555.0,3500000.0,100
Mame Biram Diouf,Stoke City,62049.0,400000.0,100
Davide Biraschi,Genoa,199927.0,400000.0,100
Valter Birsa,Chievo,26105.0,400000.0,100
Milan Biševac,Metz,24661.0,150000.0,100
Yves Bissouma,Lille,410425.0,15000000.0,100
Leonardo Bittencourt,Köln,93844.0,1500000.0,100
Ludovic Blas,Guingamp,288225.0,18000000.0,100
Pablo de Blasis,Mainz 05,75446.0,350000.0,100
Jérémy Blayac,Strasbourg,29280.0,250000.0,100
Alexis Blin,Toulouse,236041.0,3000000.0,100
