Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,Season
Yann Aurel Bisseck,Köln,de Bundesliga,DF,16.0,156,1.7,,,,,,,2017-2018
Serge Aurier,Tottenham,eng Premier League,DF,24.0,1429,15.9,,,,,734.1287087784804,Top Starter,2017-2018
Charlie Austin,Southampton,eng Premier League,FW,28.0,1037,11.5,548.0097055544626,Top Starter,,,,,2017-2018
Danilo Avelar,Amiens,fr Ligue 1,DF,28.0,1727,19.2,,,,,726.6230422332831,Top Starter,2017-2018
Felipe Avenatti,Bologna,it Serie A,FW,24.0,468,5.2,64.76244343891402,Below Big-5 Level,,,,,2017-2018
Durel Avounou,Caen,fr Ligue 1,DF,19.0,651,7.2,,,,,655.2021289238864,Top Starter,2017-2018
Chidozie Awaziem,Nantes,fr Ligue 1,DF,20.0,1512,16.8,,,,,681.5490916317539,Top Starter,2017-2018
André Ayew,West Ham,eng Premier League,Off_MF,27.0,895,9.9,476.93133275350226,Top Starter,,,,,2017-2018
André Ayew,Swansea City,eng Premier League,Off_MF,27.0,950,10.6,321.5816740707721,Solid Squad Player,,,,,2017-2018
Jordan Ayew,Swansea City,eng Premier League,FW,25.0,2852,31.7,277.5788701016505,Solid Squad Player,,,,,2017-2018
Karim Azamoum,Troyes,fr Ligue 1,MF,27.0,2251,25.0,,,385.7425842085904,Solid Squad Player,,,2017-2018
César Azpilicueta,Chelsea,eng Premier League,DF,27.0,3330,37.0,,,,,764.2646201430363,World Class,2017-2018
Ludovic Baal,Rennes,fr Ligue 1,DF,31.0,1159,12.9,,,,,685.3151712563533,Top Starter,2017-2018
Khouma Babacar,Fiorentina,it Serie A,FW,24.0,448,5.0,626.8124445214229,Top Starter,,,,,2017-2018
Khouma Babacar,Sassuolo,it Serie A,FW,24.0,750,8.3,305.9141673972514,Solid Squad Player,,,,,2017-2018
Carlos Bacca,Villarreal,es La Liga,FW,30.0,2497,27.7,658.3888350326638,Top Starter,,,,,2017-2018
Milan Badelj,Fiorentina,it Serie A,MF,28.0,2351,26.1,,,626.841326762682,Top Starter,,,2017-2018
Holger Badstuber,Stuttgart,de Bundesliga,DF,28.0,2173,24.1,,,,,692.0772102547083,Top Starter,2017-2018
Dylan Bahamboula,Dijon,fr Ligue 1,FW,22.0,30,0.3,,,,,,,2017-2018
Farès Bahlouli,Lille,fr Ligue 1,Off_MF,22.0,307,3.4,,,,,,,2017-2018
Stéphane Bahoken,Strasbourg,fr Ligue 1,FW,25.0,1662,18.5,445.0005061460171,Top Starter,,,,,2017-2018
Daniel Baier,Augsburg,de Bundesliga,MF,33.0,2538,28.2,,,537.5876810413951,Top Starter,,,2017-2018
Leon Bailey,Leverkusen,de Bundesliga,FW,19.0,2215,24.6,645.5144076057011,Top Starter,,,,,2017-2018
Eric Bailly,Manchester Utd,eng Premier League,DF,23.0,1001,11.1,,,,,643.8264015998275,Top Starter,2017-2018
Leighton Baines,Everton,eng Premier League,DF,32.0,1909,21.2,,,,,447.2130401832101,Top Starter,2017-2018
Riad Bajić,Udinese,it Serie A,FW,23.0,80,0.9,,,,,,,2017-2018
Marvin Bakalorz,Hannover 96,de Bundesliga,MF,27.0,2055,22.8,,,344.87609618638623,Solid Squad Player,,,2017-2018
Cédric Bakambu,Villarreal,es La Liga,FW,26.0,1263,14.0,573.7676539147127,Top Starter,,,,,2017-2018
Tiemoué Bakayoko,Chelsea,eng Premier League,MF,22.0,2126,23.6,,,504.59841173181405,Top Starter,,,2017-2018
Zakaria Bakkali,La Coruña,es La Liga,FW,21.0,909,10.1,135.93124018284183,Below Big-5 Level,,,,,2017-2018
Ridle Baku,Mainz 05,de Bundesliga,MF,19.0,233,2.6,,,,,,,2017-2018
Keita Baldé,Monaco,fr Ligue 1,FW,22.0,1473,16.4,640.3752006381698,Top Starter,,,,,2017-2018
Sam Baldock,Brighton,eng Premier League,FW,28.0,32,0.4,,,,,,,2017-2018
Gareth Bale,Real Madrid,es La Liga,FW,28.0,1799,20.0,822.8404400037526,World Class,,,,,2017-2018
Mikel Balenziaga,Athletic Club,es La Liga,DF,29.0,1549,17.2,,,,,589.4254771311612,Top Starter,2017-2018
Andrija Balić,Udinese,it Serie A,MF,19.0,1083,12.0,,,446.2321214790255,Top Starter,,,2017-2018
Iván Balliu,Metz,fr Ligue 1,DF,25.0,1951,21.7,,,,,573.2554914665633,Top Starter,2017-2018
